year,experiment,observable,value,uncertainty,units,measurement_kind,source_url,notes
2002,ATHENA,cold_antihydrogen_atoms_created,50000,,atoms,production_count,https://home.web.cern.ch/news/press-release/cern/thousands-cold-anti-atoms-produced-cern,"CERN release says ATHENA estimated some 50,000 antihydrogen atoms were created before announcing the result."
2002,ATHENA,antiprotons_per_ad_pulse,20000000,,antiprotons,beam_input,https://home.web.cern.ch/news/press-release/cern/thousands-cold-anti-atoms-produced-cern,"Quoted as 2 x 10^7 antiprotons per AD pulse."
2002,ATHENA,trapped_antiprotons_per_pulse,10000,,antiprotons,trap_yield,https://home.web.cern.ch/news/press-release/cern/thousands-cold-anti-atoms-produced-cern,"Approximate number caught from each AD pulse."
2002,ATHENA,cold_positrons_mixed,75000000,,positrons,mixing_input,https://home.web.cern.ch/news/press-release/cern/thousands-cold-anti-atoms-produced-cern,"About 75 million cold positrons were mixed with the trapped antiprotons."
2010,ALPHA,trapped_antihydrogen_release_events,38,1.4,events,trapping_result,https://alpha.web.cern.ch/publications/trapped-antihydrogen,"Observed 38 annihilation events consistent with controlled release of trapped antihydrogen; measured background 1.4 +- 1.4 events."
2010,ALPHA,antihydrogen_confinement_time,0.172,,s,trapping_time,https://alpha.web.cern.ch/publications/trapped-antihydrogen,"ALPHA initial trapping experiment summarized on the publication page."
2017,ALPHA,hyperfine_splitting,1420.4,0.5,MHz,spectroscopy,https://alpha.web.cern.ch/publications/observation-hyperfine-spectrum-antihydrogen,"Ground-state hyperfine splitting extracted from 194 detected atoms."
2017,ALPHA,hyperfine_detected_atoms,194,,atoms,spectroscopy_sample,https://alpha.web.cern.ch/publications/observation-hyperfine-spectrum-antihydrogen,"Total detected atoms used in the hyperfine-spectrum measurement."
2017,ALPHA,laser_wavelength_1S_2S,243,,nm,spectroscopy_setup,https://alpha.web.cern.ch/publications/observation-1s-2s-transition-trapped-antihydrogen,"Two-photon excitation driven by a frequency-stabilized laser at 243 nm."
2017,ALPHA,relative_precision_1S_2S,2e-10,,relative,spectroscopy_precision,https://alpha.web.cern.ch/publications/observation-1s-2s-transition-trapped-antihydrogen,"Result reported as consistent with CPT invariance at relative precision of about 2 x 10^-10."
2023,ALPHA-g,gravitational_acceleration_ratio_ag_over_g,0.75,0.21,g_ratio,gravity,https://www.nature.com/articles/s41586-023-06527-1,"Nature abstract reports a_gbar = (0.75 +- 0.13 (statistical+systematic) +- 0.16 (simulation)) g; uncertainty column here stores quadrature combination."
2023,ALPHA-g,gravitational_acceleration_stat_plus_sys,0.13,,g_ratio,gravity_component,https://www.nature.com/articles/s41586-023-06527-1,"Statistical plus systematic component quoted separately in the paper abstract."
2023,ALPHA-g,gravitational_acceleration_simulation_component,0.16,,g_ratio,gravity_component,https://www.nature.com/articles/s41586-023-06527-1,"Simulation component quoted separately in the paper abstract."
2023,ALPHA-g,gravity_release_direction_consistent_with_downward,1,,boolean,gravity_result,https://home.web.cern.ch/news/press-release/physics/alpha-experiment-cern-observes-influence-gravity-antimatter,"CERN states antihydrogen behaves consistently with gravitational attraction toward Earth; repulsive antigravity ruled out in this case."
2025,ASACUSA,beam_intensity_downstream_cusp_trap,320,,atoms_per_15_min,beam_flux,https://cds.cern.ch/record/2941004,"Abstract reports 320 atoms detected per 15-minute run downstream of the Cusp trap."
2025,ASACUSA,beam_intensity_gain_factor,100,,factor,beam_improvement,https://cds.cern.ch/record/2941004,"Abstract reports a factor-of-100 increase in antihydrogen beam intensity."
2025,ASACUSA,beam_temperature,1500,,K,beam_kinematics,https://cds.cern.ch/record/2941004,"Time-of-flight signal modeled with a 1D Maxwellian velocity distribution at 1500 K."
2025,ASACUSA,estimated_ground_state_fraction,0.16,,fraction,beam_state_composition,https://cds.cern.ch/record/2941004,"Simulation suggests about 16% of the atoms may be in the ground state."
2025,ASACUSA,hyperfine_precision_beam_context,4e-10,,relative,beam_spectroscopy_context,https://cds.cern.ch/record/2941004/files/CERN-EP-2025-195.pdf,"Paper introduction says the collaboration recently measured the antihydrogen ground-state hyperfine interval to 4 x 10^-10 in a beam."
