species,class,order,family,mass_g,mass_kg,max_longevity_years,source
Anaxyrus americanus,Amphibia,Anura,Bufonidae,21.6,0.0216,36,AnAge
Anaxyrus terrestris,Amphibia,Anura,Bufonidae,19.2,0.0192,10,AnAge
Rhinella marina,Amphibia,Anura,Bufonidae,105,0.105,24.8,AnAge
Hoplobatrachus occipitalis,Amphibia,Anura,Dicroglossidae,48.1,0.0481,10.9,AnAge
Hyla versicolor,Amphibia,Anura,Hylidae,6.97,0.00697,7.8,AnAge
Xenopus laevis,Amphibia,Anura,Pipidae,63.6,0.0636,30.3,AnAge
Lithobates catesbeianus,Amphibia,Anura,Ranidae,51.2,0.0512,16,AnAge
Lithobates pipiens,Amphibia,Anura,Ranidae,21.6,0.0216,9,AnAge
Lithobates sylvaticus,Amphibia,Anura,Ranidae,7.8,0.0078,5,AnAge
Ambystoma maculatum,Amphibia,Caudata,Ambystomatidae,12.8,0.0128,32,AnAge
Ambystoma tigrinum,Amphibia,Caudata,Ambystomatidae,3.21,0.00321,25,AnAge
Amphiuma means,Amphibia,Caudata,Amphiumidae,199,0.199,27,AnAge
Cryptobranchus alleganiensis,Amphibia,Caudata,Cryptobranchidae,358,0.358,29,AnAge
Desmognathus ochrophaeus,Amphibia,Caudata,Plethodontidae,0.6,0.0006,19.8,AnAge
Desmognathus quadramaculatus,Amphibia,Caudata,Plethodontidae,14.1,0.0141,15,AnAge
Plethodon cinereus,Amphibia,Caudata,Plethodontidae,0.76,0.00076,25,AnAge
Plethodon glutinosus,Amphibia,Caudata,Plethodontidae,4.2,0.0042,20.1,AnAge
Proteus anguinus,Amphibia,Caudata,Proteidae,17,0.017,102,AnAge
Salamandra salamandra,Amphibia,Caudata,Salamandridae,19.1,0.0191,24,AnAge
Accipiter cooperii,Aves,Accipitriformes,Accipitridae,526.64,0.52664,20.3,AnAge
Accipiter fasciatus,Aves,Accipitriformes,Accipitridae,453.5,0.4535,14.9,AnAge
Accipiter gentilis,Aves,Accipitriformes,Accipitridae,1044.2,1.0442,22,AnAge
Accipiter nisus,Aves,Accipitriformes,Accipitridae,135,0.135,20.2,AnAge
Accipiter striatus,Aves,Accipitriformes,Accipitridae,135,0.135,19.9,AnAge
Aegypius monachus,Aves,Accipitriformes,Accipitridae,9625,9.625,39,AnAge
Aquila adalberti,Aves,Accipitriformes,Accipitridae,3000,3,44.5,AnAge
Aquila audax,Aves,Accipitriformes,Accipitridae,3466,3.466,40,AnAge
Aquila chrysaetos,Aves,Accipitriformes,Accipitridae,3000,3,48,AnAge
Aquila fasciata,Aves,Accipitriformes,Accipitridae,2000,2,20,AnAge
Aquila heliaca,Aves,Accipitriformes,Accipitridae,3262,3.262,56,AnAge
Aquila nipalensis,Aves,Accipitriformes,Accipitridae,2745.5,2.7455,41,AnAge
Aquila pomarina,Aves,Accipitriformes,Accipitridae,1370,1.37,26.1,AnAge
Aquila rapax,Aves,Accipitriformes,Accipitridae,1996.1,1.9961,40.3,AnAge
Butastur indicus,Aves,Accipitriformes,Accipitridae,415,0.415,8.5,AnAge
Buteo buteo,Aves,Accipitriformes,Accipitridae,1012,1.012,28.8,AnAge
Buteo jamaicensis,Aves,Accipitriformes,Accipitridae,1362,1.362,30.7,AnAge
Buteo lagopus,Aves,Accipitriformes,Accipitridae,980.64,0.98064,18.8,AnAge
Buteo lineatus,Aves,Accipitriformes,Accipitridae,658,0.658,22.4,AnAge
Buteo platypterus,Aves,Accipitriformes,Accipitridae,454,0.454,18.3,AnAge
Buteo regalis,Aves,Accipitriformes,Accipitridae,1500,1.5,23.7,AnAge
Buteo solitarius,Aves,Accipitriformes,Accipitridae,505,0.505,17,AnAge
Buteo swainsoni,Aves,Accipitriformes,Accipitridae,980.64,0.98064,24.9,AnAge
Buteogallus anthracinus,Aves,Accipitriformes,Accipitridae,837,0.837,13.5,AnAge
Circaetus gallicus,Aves,Accipitriformes,Accipitridae,1699.5,1.6995,17.3,AnAge
Circus aeruginosus,Aves,Accipitriformes,Accipitridae,711.5,0.7115,20.1,AnAge
Circus approximans,Aves,Accipitriformes,Accipitridae,752.5,0.7525,11,AnAge
Circus cyaneus,Aves,Accipitriformes,Accipitridae,392,0.392,17.1,AnAge
Circus macrourus,Aves,Accipitriformes,Accipitridae,388.5,0.3885,13.5,AnAge
Circus pygargus,Aves,Accipitriformes,Accipitridae,315.5,0.3155,16.3,AnAge
Elanus axillaris,Aves,Accipitriformes,Accipitridae,265.5,0.2655,3.5,AnAge
Elanus caeruleus,Aves,Accipitriformes,Accipitridae,260.5,0.2605,6,AnAge
Elanus leucurus,Aves,Accipitriformes,Accipitridae,280,0.28,6,AnAge
