species,class,order,family,mass_g,mass_kg,metabolic_rate_W,source
Anaxyrus americanus,Amphibia,Anura,Bufonidae,21.6,0.0216,0.00829,AnAge
Anaxyrus terrestris,Amphibia,Anura,Bufonidae,19.2,0.0192,0.00698,AnAge
Rhinella marina,Amphibia,Anura,Bufonidae,105,0.105,0.0303,AnAge
Hyla versicolor,Amphibia,Anura,Hylidae,6.97,0.00697,0.00433,AnAge
Pseudacris crucifer,Amphibia,Anura,Hylidae,0.9,0.0009,0.00105,AnAge
Xenopus laevis,Amphibia,Anura,Pipidae,63.6,0.0636,0.012,AnAge
Lithobates catesbeianus,Amphibia,Anura,Ranidae,51.2,0.0512,0.0134,AnAge
Lithobates pipiens,Amphibia,Anura,Ranidae,21.6,0.0216,0.00576,AnAge
Lithobates sylvaticus,Amphibia,Anura,Ranidae,7.8,0.0078,0.00416,AnAge
Ambystoma maculatum,Amphibia,Caudata,Ambystomatidae,12.8,0.0128,0.005,AnAge
Ambystoma tigrinum,Amphibia,Caudata,Ambystomatidae,3.21,0.00321,0.00196,AnAge
Amphiuma means,Amphibia,Caudata,Amphiumidae,199,0.199,0.00904,AnAge
Cryptobranchus alleganiensis,Amphibia,Caudata,Cryptobranchidae,358,0.358,0.0253,AnAge
Desmognathus quadramaculatus,Amphibia,Caudata,Plethodontidae,14.1,0.0141,0.00411,AnAge
Plethodon cinereus,Amphibia,Caudata,Plethodontidae,0.76,0.00076,9.9e-05,AnAge
Plethodon glutinosus,Amphibia,Caudata,Plethodontidae,4.2,0.0042,0.00191,AnAge
Salamandra salamandra,Amphibia,Caudata,Salamandridae,19.1,0.0191,0.00857,AnAge
Taricha granulosa,Amphibia,Caudata,Salamandridae,12.2,0.0122,0.00518,AnAge
Accipiter nisus,Aves,Accipitriformes,Accipitridae,135,0.135,0.9516,AnAge
Aquila chrysaetos,Aves,Accipitriformes,Accipitridae,3000,3,4.9929,AnAge
Buteo lineatus,Aves,Accipitriformes,Accipitridae,658,0.658,2.11,AnAge
Geranoaetus melanoleucus,Aves,Accipitriformes,Accipitridae,2860,2.86,5.1887,AnAge
Pernis apivorus,Aves,Accipitriformes,Accipitridae,652,0.652,2.36428,AnAge
Aix sponsa,Aves,Anseriformes,Anatidae,448,0.448,2.247,AnAge
Anas clypeata,Aves,Anseriformes,Anatidae,554,0.554,3.9209,AnAge
Anas crecca,Aves,Anseriformes,Anatidae,250,0.25,1.68388,AnAge
Anas penelope,Aves,Anseriformes,Anatidae,723,0.723,2.8538,AnAge
Anas platyrhynchos,Aves,Anseriformes,Anatidae,1020,1.02,4.068,AnAge
Anas rubripes,Aves,Anseriformes,Anatidae,904,0.904,3.6076,AnAge
Apus apus,Aves,Apodiformes,Apodidae,44.9,0.0449,0.4372,AnAge
