species,class,order,family,mass_kg,brain_size,brain_units,source
Hyla versicolor,Amphibia,Anura,Hylidae,0.01315,4.225844e-05,kg,AnimalTraits
Pseudacris triseriata,Amphibia,Anura,Hylidae,0.0001,2.25848e-06,kg,AnimalTraits
Acris crepitans,Amphibia,Anura,Hylidae,0.0003,4.43408e-06,kg,AnimalTraits
Platymantis vitiensis,Amphibia,Anura,Ceratobatrachidae,0.0003,4.93136e-06,kg,AnimalTraits
Rana sylvatica,Amphibia,Anura,Ranidae,0.00037,8.56772e-06,kg,AnimalTraits
Rana pipiens,Amphibia,Anura,Ranidae,0.0011,2.03574e-05,kg,AnimalTraits
Rana clamitans,Amphibia,Anura,Ranidae,0.00362,3.915044e-05,kg,AnimalTraits
Xenopus laevis,Amphibia,Anura,Pipidae,0.03237,5.137524e-05,kg,AnimalTraits
Rhinophrynus dorsalis,Amphibia,Anura,Rhionphrynidae,0.01657,3.292408e-05,kg,AnimalTraits
Zygiella x-notata,Arachnida,Araneae,Araneidae,3.9e-05,1.22248e-06,kg,AnimalTraits
Zygiella x-notata,Arachnida,Araneae,Araneidae,2.9e-05,1.35716e-06,kg,AnimalTraits
Mysmena sp.,Arachnida,Araneae,Mysmenidae,1e-07,4.0404e-09,kg,AnimalTraits
Mysmenopsis tengellacompa,Arachnida,Araneae,Mysmenidae,3e-07,1.87516e-08,kg,AnimalTraits
Anapisona simoni,Arachnida,Araneae,Anapidae,8e-07,1.31572e-08,kg,AnimalTraits
Anapisona simoni,Arachnida,Araneae,Anapidae,8e-07,1.20176e-08,kg,AnimalTraits
Faiditus elevatus,Arachnida,Araneae,Theridiidae,3e-06,3.39808e-08,kg,AnimalTraits
Faiditus elevatus,Arachnida,Araneae,Theridiidae,2.4e-06,5.51152e-08,kg,AnimalTraits
Faiditus sp.,Arachnida,Araneae,Theridiidae,2.7e-06,5.57368e-08,kg,AnimalTraits
Leucauge mariana,Arachnida,Araneae,Tetragnathidae,6e-05,1.580936e-07,kg,AnimalTraits
Leucauge mariana,Arachnida,Araneae,Tetragnathidae,2e-05,1.34162e-07,kg,AnimalTraits
Argiope argentata,Arachnida,Araneae,Araneidae,0.00025,3.451952e-07,kg,AnimalTraits
Nephila clavipes,Arachnida,Araneae,Araneidae,0.002,6.6304e-07,kg,AnimalTraits
Nephila clavipes,Arachnida,Araneae,Araneidae,1.12e-05,1.615124e-07,kg,AnimalTraits
Casuarius casuarius,Aves,Casuariiformes,Casuariidae,43.85,0.0376586,kg,AnimalTraits
Dromaius novaehollandiae,Aves,Casuariiformes,Casuariidae,36.5,0.02991968,kg,AnimalTraits
Alectura lathami,Aves,Galliformes,Megapodiidae,2.3,0.00588448,kg,AnimalTraits
Leipoa ocellata,Aves,Galliformes,Megapodiidae,2,0.004662,kg,AnimalTraits
Coturnix pectoralis,Aves,Galliformes,Phasianidae,0.105,0.00099456,kg,AnimalTraits
Excalfactoria chinensis,Aves,Galliformes,Phasianidae,0.0375,0.00058016,kg,AnimalTraits
Anseranas semipalmata,Aves,Anseriformes,Anseranatidae,2.4,0.0091168,kg,AnimalTraits
Dendrocygna eytoni,Aves,Anseriformes,Anatidae,1,0.00472416,kg,AnimalTraits
Dendrocygna arcuata,Aves,Anseriformes,Anatidae,0.8,0.00467236,kg,AnimalTraits
Biziura lobata,Aves,Anseriformes,Anatidae,1.975,0.00903392,kg,AnimalTraits
Stictonetta naevosa,Aves,Anseriformes,Anatidae,0.91,0.00456876,kg,AnimalTraits
Cereopsis novaehollandiae,Aves,Anseriformes,Anatidae,5,0.00914788,kg,AnimalTraits
Cygnus atratus,Aves,Anseriformes,Anatidae,6.1,0.0125874,kg,AnimalTraits
Tadorna radjah,Aves,Anseriformes,Anatidae,0.885,0.00536648,kg,AnimalTraits
Tadorna tadornoides,Aves,Anseriformes,Anatidae,1.45,0.00603988,kg,AnimalTraits
Chenonetta jubata,Aves,Anseriformes,Anatidae,0.8,0.00422688,kg,AnimalTraits
Malacorhynchus membranaceus,Aves,Anseriformes,Anatidae,0.375,0.0029526,kg,AnimalTraits
Nettapus pulchellus,Aves,Anseriformes,Anatidae,0.28,0.00277648,kg,AnimalTraits
Anas rhynchotis,Aves,Anseriformes,Anatidae,0.65,0.00366744,kg,AnimalTraits
Anas gracilis,Aves,Anseriformes,Anatidae,0.4965,0.00364672,kg,AnimalTraits
Anas castanea,Aves,Anseriformes,Anatidae,0.65,0.00386428,kg,AnimalTraits
Anas superciliosa,Aves,Anseriformes,Anatidae,1,0.00552188,kg,AnimalTraits
Aythya australis,Aves,Anseriformes,Anatidae,0.85,0.00506604,kg,AnimalTraits
Oxyura australis,Aves,Anseriformes,Anatidae,0.85,0.00416472,kg,AnimalTraits
Phaethon rubricauda,Aves,Phaethontiformes,Phaethontidae,0.8,0.00468272,kg,AnimalTraits
Tachybaptus novaehollandiae,Aves,Podicipediformes,Podicipedidae,0.165,0.00171976,kg,AnimalTraits
Poliocephalus poliocephalus,Aves,Podicipediformes,Podicipedidae,0.24,0.00178192,kg,AnimalTraits
Podiceps cristatus,Aves,Podicipediformes,Podicipedidae,1.1,0.00322196,kg,AnimalTraits
Columba leucomela,Aves,Columbiformes,Columbidae,0.42,0.00237244,kg,AnimalTraits
Macropygia amboinensis,Aves,Columbiformes,Columbidae,0.2,0.00154364,kg,AnimalTraits
Chalcophaps indica,Aves,Columbiformes,Columbidae,0.135,0.001295,kg,AnimalTraits
Phaps chalcoptera,Aves,Columbiformes,Columbidae,0.335,0.00184408,kg,AnimalTraits
Phaps elegans,Aves,Columbiformes,Columbidae,0.205,0.0017094,kg,AnimalTraits
Phaps histrionica,Aves,Columbiformes,Columbidae,0.3,0.0017094,kg,AnimalTraits
Ocyphaps lophotes,Aves,Columbiformes,Columbidae,0.19,0.0017612,kg,AnimalTraits
Geophaps plumifera,Aves,Columbiformes,Columbidae,0.095,0.00122248,kg,AnimalTraits
Geophaps smithii,Aves,Columbiformes,Columbidae,0.205,0.00144004,kg,AnimalTraits
Petrophassa albipennis,Aves,Columbiformes,Columbidae,0.125,0.0011396,kg,AnimalTraits
Geopelia cuneata,Aves,Columbiformes,Columbidae,0.033,0.00080808,kg,AnimalTraits
Geopelia striata,Aves,Columbiformes,Columbidae,0.0485,0.00081844,kg,AnimalTraits
Geopelia humeralis,Aves,Columbiformes,Columbidae,0.13,0.00130536,kg,AnimalTraits
Leucosarcia melanoleuca,Aves,Columbiformes,Columbidae,0.415,0.00249676,kg,AnimalTraits
Ptilinopus magnificus,Aves,Columbiformes,Columbidae,0.335,0.00224812,kg,AnimalTraits
Ptilinopus superbus,Aves,Columbiformes,Columbidae,0.107,0.00112924,kg,AnimalTraits
Ptilinopus regina,Aves,Columbiformes,Columbidae,0.095,0.00125356,kg,AnimalTraits
Lopholaimus antarcticus,Aves,Columbiformes,Columbidae,0.575,0.00280756,kg,AnimalTraits
Podargus strigoides,Aves,Caprimulgiformes,Podargidae,0.285,0.00503496,kg,AnimalTraits
Eurostopodus mystacalis,Aves,Caprimulgiformes,Caprimulgidae,0.13,0.00137788,kg,AnimalTraits
Eurostopodus argus,Aves,Caprimulgiformes,Caprimulgidae,0.0975,0.00128464,kg,AnimalTraits
Caprimulgus macrurus,Aves,Caprimulgiformes,Caprimulgidae,0.0675,0.00104636,kg,AnimalTraits
Aegotheles cristatus,Aves,Apodiformes,Aegothelidae,0.045,0.00147112,kg,AnimalTraits
Aerodramus terraereginae,Aves,Apodiformes,Apodidae,0.0125,0.00024864,kg,AnimalTraits
Hirundapus caudacutus,Aves,Apodiformes,Apodidae,0.1175,0.00133644,kg,AnimalTraits
