species,class,order,family,mass_kg,metabolic_rate,metabolic_rate_units,source
Marpissa bina,Arachnida,Araneae,Salticidae,0.000168,0.00020427529,W,AnimalTraits
Phidippus clarus,Arachnida,Araneae,Salticidae,0.00026,0.00036141013,W,AnimalTraits
Sarinda hentzi,Arachnida,Araneae,Salticidae,4.6e-06,1.5713484e-05,W,AnimalTraits
Zygoballus rufipes,Arachnida,Araneae,Salticidae,3e-06,4.7140452e-06,W,AnimalTraits
Tetranychus cinnabarinus,Arachnida,Trombidiformes,Tetranychidae,4.94e-09,2.6072222e-08,W,AnimalTraits
Phytoseiulus persimilis,Arachnida,Mesostigmata,Phytoseiidae,8.59e-09,9.8785e-08,W,AnimalTraits
Pardosa lugubris,Arachnida,Araneae,Lycosidae,2.24e-05,3.5662595e-05,W,AnimalTraits
Pardosa lugubris,Arachnida,Araneae,Lycosidae,2.14e-05,3.2530604e-05,W,AnimalTraits
Marpissa muscosa,Arachnida,Araneae,Salticidae,3.91e-05,4.9589248e-05,W,AnimalTraits
Marpissa muscosa,Arachnida,Araneae,Salticidae,2.75e-05,3.5866777e-05,W,AnimalTraits
Pholcus phalangioideus,Arachnida,Araneae,Pholcidae,2.76e-05,3.6741971e-05,W,AnimalTraits
Pholcus phalangioideus,Arachnida,Araneae,Pholcidae,1.13e-05,1.7482299e-05,W,AnimalTraits
Aphonopelma anax,Arachnida,Araneae,Theraphosidae,0.01319,0.00096618357,W,AnimalTraits
Aphonopelma anax,Arachnida,Araneae,Theraphosidae,0.00778,0.0012681159,W,AnimalTraits
Damon annulatipes,Arachnida,Amblypygi,Phrynichidae,0.00064,0.00030768155,W,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,1.44e-05,5e-05,W,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,2.35e-05,0.00010444444,W,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,1.6e-05,6.1666667e-05,W,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,1.53e-05,4.8888889e-05,W,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,2.45e-05,6.3333333e-05,W,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,1.72e-05,5.8888889e-05,W,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,1.4e-05,5.8888889e-05,W,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,2.04e-05,7.7777778e-05,W,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,1.55e-05,4.7777778e-05,W,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,1.79e-05,6.3888889e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,3.43e-05,6.0555556e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,3.01e-05,4.0555556e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,2.48e-05,4.7777778e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,2.86e-05,5.1111111e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,5.11e-05,0.00011833333,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,5.32e-05,6.1111111e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,3.48e-05,4.3333333e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,2.42e-05,3.2222222e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,2.8e-05,3.5e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,2.74e-05,4.1666667e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,2.8e-05,5.1666667e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,3.01e-05,6.9444444e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,4.43e-05,9.2222222e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,2.42e-05,4.5e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,4.7e-05,8.8333333e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,2.45e-05,3.7222222e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,2.87e-05,3.9444444e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,2.92e-05,4.2777778e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,6.37e-05,8.8888889e-05,W,AnimalTraits
Zosis geniculata,Arachnida,Araneae,Uloboridae,5.01e-05,6.8888889e-05,W,AnimalTraits
Mecynogea lemniscata,Arachnida,Araneae,Araneidae,4.7e-05,5.7777778e-05,W,AnimalTraits
Micrathena sagittata,Arachnida,Araneae,Araneidae,5.2e-05,5e-05,W,AnimalTraits
Nephila clavipes,Arachnida,Araneae,Araneidae,0.000848,0.0012335085,W,AnimalTraits
Amblyomma americanum,Arachnida,Ixodida,Ixodidae,3.1e-06,1.4351852e-06,W,AnimalTraits
Amblyomma maculatum,Arachnida,Ixodida,Ixodidae,4.5e-06,1.6998342e-06,W,AnimalTraits
Amblyomma cajenense,Arachnida,Ixodida,Ixodidae,7.5e-06,1.8162393e-06,W,AnimalTraits
Dermacentor andersoni,Arachnida,Ixodida,Ixodidae,2.07e-05,3.3925926e-06,W,AnimalTraits
Dermacentor variabilis,Arachnida,Ixodida,Ixodidae,5.6e-06,1.7222222e-06,W,AnimalTraits
Ornithodoros moubata,Arachnida,Ixodida,Argasidae,1.32e-05,2.7237654e-06,W,AnimalTraits
Cilliba cassidea,Arachnida,Mesostigmata,Uropodidae,1.025e-07,1.6879425e-07,W,AnimalTraits
Cilliba cassidea,Arachnida,Mesostigmata,Uropodidae,9.71e-08,1.7271822e-07,W,AnimalTraits
Epicrius mollis,Arachnida,Mesostigmata,Epicriidae,3.95e-08,1.3127437e-07,W,AnimalTraits
Epicrius mollis,Arachnida,Mesostigmata,Epicriidae,5.73e-08,1.4325088e-07,W,AnimalTraits
Pergamasus crassipes,Arachnida,Mesostigmata,Parasitidae,2.88e-07,1.1494728e-06,W,AnimalTraits
Pergamasus crassipes,Arachnida,Mesostigmata,Parasitidae,3.401e-07,2.0890305e-06,W,AnimalTraits
Aphonopelma eutylenum,Arachnida,Araneae,Theraphosidae,0.01503,0.0018501365,W,AnimalTraits
Aphonopelma eutylenum,Arachnida,Araneae,Theraphosidae,0.00868,0.0043945016,W,AnimalTraits
Loxosceles laeta,Arachnida,Araneae,Sicariidae,9.72e-05,7.2500727e-05,W,AnimalTraits
Loxosceles laeta,Arachnida,Araneae,Sicariidae,9.61e-05,0.00010396331,W,AnimalTraits
Loxosceles laeta,Arachnida,Araneae,Sicariidae,0.0001112,0.0001395297,W,AnimalTraits
Loxosceles laeta,Arachnida,Araneae,Sicariidae,7.62e-05,4.9929746e-05,W,AnimalTraits
Loxosceles laeta,Arachnida,Araneae,Sicariidae,0.0001979,0.00018809151,W,AnimalTraits
Loxosceles laeta,Arachnida,Araneae,Sicariidae,0.0002917,0.00017783197,W,AnimalTraits
Loxosceles laeta,Arachnida,Araneae,Sicariidae,0.0003279,0.00032898915,W,AnimalTraits
Loxosceles laeta,Arachnida,Araneae,Sicariidae,0.0001655,0.00016210068,W,AnimalTraits
Loxosceles laeta,Arachnida,Araneae,Sicariidae,0.0001839,0.00022912965,W,AnimalTraits
Loxosceles deserta,Arachnida,Araneae,Sicariidae,7.9e-05,6.224119e-05,W,AnimalTraits
Loxosceles deserta,Arachnida,Araneae,Sicariidae,6.32e-05,4.0354178e-05,W,AnimalTraits
Plectreurys tristis,Arachnida,Araneae,Plectreuridae,0.0003404,0.00014294955,W,AnimalTraits
Plectreurys tristis,Arachnida,Araneae,Plectreuridae,8.1e-05,5.9505313e-05,W,AnimalTraits
Plectreurys sp.,Arachnida,Araneae,Plectreuridae,6.47e-05,3.3514487e-05,W,AnimalTraits
Steatoda medialis,Arachnida,Araneae,Theridiidae,2.43e-05,8.4812171e-05,W,AnimalTraits
Latrodectus mactans,Arachnida,Araneae,Theridiidae,0.0003505,0.00071611567,W,AnimalTraits
Latrodectus mactans,Arachnida,Araneae,Theridiidae,4.82e-05,0.00039465018,W,AnimalTraits
Latrodectus mactans,Arachnida,Araneae,Theridiidae,0.000169,0.00060120886,W,AnimalTraits
Frontinella pyramitela,Arachnida,Araneae,Linyphiidae,4.6e-06,1.2311444e-05,W,AnimalTraits
Frontinella pyramitela,Arachnida,Araneae,Linyphiidae,4.8e-06,2.2570981e-05,W,AnimalTraits
Frontinella pyramitela,Arachnida,Araneae,Linyphiidae,7.6e-06,4.3774024e-05,W,AnimalTraits
Cyclosa conica,Arachnida,Araneae,Araneidae,1.05e-05,3.9670209e-05,W,AnimalTraits
Cyclosa conica,Arachnida,Araneae,Araneidae,1.08e-05,3.7618302e-05,W,AnimalTraits
Neoscona oacavensis,Arachnida,Araneae,Araneidae,0.0001406,0.00016004877,W,AnimalTraits
Neoscona oacavensis,Arachnida,Araneae,Araneidae,0.0001931,0.00021613424,W,AnimalTraits
Argiope aurantia,Arachnida,Araneae,Araneidae,0.000258,0.00040559369,W,AnimalTraits
Argiope aurantia,Arachnida,Araneae,Araneidae,0.000858,0.0010471567,W,AnimalTraits
Argiope aurantia,Arachnida,Araneae,Araneidae,0.000853,0.0011983139,W,AnimalTraits
Agelenopsis aperta,Arachnida,Araneae,Agelenidae,0.0006325,0.00098149569,W,AnimalTraits
Agelenopsis aperta,Arachnida,Araneae,Agelenidae,0.000715,0.0011620635,W,AnimalTraits
Agelenopsis aperta,Arachnida,Araneae,Agelenidae,0.0003208,0.00036387157,W,AnimalTraits
Schizocosa pacifica,Arachnida,Araneae,Lycosidae,0.0005121,0.00057726994,W,AnimalTraits
Peucetia viridans,Arachnida,Araneae,Oxyopidae,0.0001616,8.9599955e-05,W,AnimalTraits
Peucetia viridans,Arachnida,Araneae,Oxyopidae,0.0001332,0.00026196017,W,AnimalTraits
Peucetia longipalpis,Arachnida,Araneae,Oxyopidae,0.0002574,0.00027769146,W,AnimalTraits
Zelotes rusticus,Arachnida,Araneae,Gnaphosidae,5.25e-05,4.3090054e-05,W,AnimalTraits
Liocranoides sp.,Arachnida,Araneae,Clubionidae,0.0001455,9.9859491e-05,W,AnimalTraits
Misumenoidea formosipes,Arachnida,Araneae,Thomisidae,4.87e-05,0.00011764269,W,AnimalTraits
Misumenoidea sp.,Arachnida,Araneae,Thomisidae,2.79e-05,3.2830518e-05,W,AnimalTraits
Misumenoidea sp.,Arachnida,Araneae,Thomisidae,3.6e-05,3.6250363e-05,W,AnimalTraits
Misumenoidea sp.,Arachnida,Araneae,Thomisidae,3e-05,4.65099e-05,W,AnimalTraits
Misumenoidea sp.,Arachnida,Araneae,Thomisidae,4.23e-05,4.3774024e-05,W,AnimalTraits
Metaphidippus vitis,Arachnida,Araneae,Salticidae,5.7e-06,1.7783197e-05,W,AnimalTraits
Menemerus bivittatus,Arachnida,Araneae,Salticidae,2.79e-05,6.9080881e-05,W,AnimalTraits
Phidippus johnsoni,Arachnida,Araneae,Salticidae,0.000173,0.00015662893,W,AnimalTraits
Alaskozeres antarcticus,Arachnida,Sarcoptiformes,Ameronothridae,2.2999e-07,8.6705749e-07,W,AnimalTraits
Lycosa howarthi,Arachnida,Araneae,Lycosidae,0.0001844,0.00026974676,W,AnimalTraits
Lycosa sp.,Arachnida,Araneae,Lycosidae,0.000123,0.00011984544,W,AnimalTraits
Empidonax occidentalis,Aves,Passeriformes,Tyrannidae,0.01172,0.277,W,AnimalTraits
Parus gambeli,Aves,Passeriformes,Paridae,0.01165,0.326,W,AnimalTraits
Certhia americana,Aves,Passeriformes,Certhiidae,0.00747,0.227,W,AnimalTraits
Sitta canadensis,Aves,Passeriformes,Sittidae,0.01038,0.291,W,AnimalTraits
Sitta carolinensis,Aves,Passeriformes,Sittidae,0.01767,0.41,W,AnimalTraits
Sialia mexicana,Aves,Passeriformes,Turdidae,0.02368,0.44,W,AnimalTraits
Catharus guttatus,Aves,Passeriformes,Turdidae,0.02907,0.571,W,AnimalTraits
Turdus migratorius,Aves,Passeriformes,Turdidae,0.07311,0.944,W,AnimalTraits
Pipilo chlorurus,Aves,Passeriformes,Emberizidae,0.03025,0.575,W,AnimalTraits
