species,class,order,family,mass_kg,specific_mr,specific_mr_units,source
Marpissa bina,Arachnida,Araneae,Salticidae,0.000168,1.2159244,W/kg,AnimalTraits
Phidippus clarus,Arachnida,Araneae,Salticidae,0.00026,1.390039,W/kg,AnimalTraits
Sarinda hentzi,Arachnida,Araneae,Salticidae,4.6e-06,3.4159748,W/kg,AnimalTraits
Zygoballus rufipes,Arachnida,Araneae,Salticidae,3e-06,1.5713484,W/kg,AnimalTraits
Tetranychus cinnabarinus,Arachnida,Trombidiformes,Tetranychidae,4.94e-09,5.2777778,W/kg,AnimalTraits
Phytoseiulus persimilis,Arachnida,Mesostigmata,Phytoseiidae,8.59e-09,11.5,W/kg,AnimalTraits
Pardosa lugubris,Arachnida,Araneae,Lycosidae,2.24e-05,1.5920801,W/kg,AnimalTraits
Pardosa lugubris,Arachnida,Araneae,Lycosidae,2.14e-05,1.5201217,W/kg,AnimalTraits
Marpissa muscosa,Arachnida,Araneae,Salticidae,3.91e-05,1.2682672,W/kg,AnimalTraits
Marpissa muscosa,Arachnida,Araneae,Salticidae,2.75e-05,1.3042464,W/kg,AnimalTraits
Pholcus phalangioideus,Arachnida,Araneae,Pholcidae,2.76e-05,1.3312308,W/kg,AnimalTraits
Pholcus phalangioideus,Arachnida,Araneae,Pholcidae,1.13e-05,1.5471061,W/kg,AnimalTraits
Aphonopelma anax,Arachnida,Araneae,Theraphosidae,0.01319,0.073251219,W/kg,AnimalTraits
Aphonopelma anax,Arachnida,Araneae,Theraphosidae,0.00778,0.16299691,W/kg,AnimalTraits
Damon annulatipes,Arachnida,Amblypygi,Phrynichidae,0.00064,0.48075242,W/kg,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,1.44e-05,3.4722222,W/kg,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,2.35e-05,4.4444444,W/kg,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,1.6e-05,3.8541667,W/kg,AnimalTraits
Metazygia rogenhoferi,Arachnida,Araneae,Araneidae,1.53e-05,3.1953522,W/kg,AnimalTraits
