geoid,name,city_type,population,road_length_m,road_length_m_per_cap,year,source
0473000,Tempe city,urban,180587,1312626.1,7.2686635,2020,quantify-infrastructure_ssp2
0602000,Anaheim city,urban,346824,1588989.9,4.5815454,2020,quantify-infrastructure_ssp2
0616532,Costa Mesa city,urban,111918,441992.31,3.9492513,2020,quantify-infrastructure_ssp2
0669000,Santa Ana city,urban,310227,1054263.7,3.3983621,2020,quantify-infrastructure_ssp2
0660102,Redwood City city,urban,84292,493072.38,5.849575,2020,quantify-infrastructure_ssp2
0636294,Imperial Beach city,urban,26137,134325.21,5.1392741,2020,quantify-infrastructure_ssp2
0653000,Oakland city,urban,440646,2031973.8,4.6113521,2020,quantify-infrastructure_ssp2
0666000,San Diego city,urban,1386932,7749519.3,5.5875265,2020,quantify-infrastructure_ssp2
0600562,Alameda city,urban,78280,406123.52,5.1880878,2020,quantify-infrastructure_ssp2
0600674,Albany city,urban,20271,80927.204,3.992265,2020,quantify-infrastructure_ssp2
0606000,Berkeley city,urban,124321,521626.65,4.1958048,2020,quantify-infrastructure_ssp2
0622594,Emeryville city,urban,12905,41149.944,3.1886822,2020,quantify-infrastructure_ssp2
0604982,Bellflower city,urban,79190,257160.37,3.2473844,2020,quantify-infrastructure_ssp2
0604996,Bell Gardens city,urban,39501,83437.018,2.1122761,2020,quantify-infrastructure_ssp2
0617498,Cudahy city,urban,22811,24122.861,1.05751,2020,quantify-infrastructure_ssp2
0669070,Santa Barbara city,urban,88665,639636.97,7.2140864,2020,quantify-infrastructure_ssp2
0622412,El Segundo city,urban,17272,123775.21,7.1662349,2020,quantify-infrastructure_ssp2
0632506,Hawaiian Gardens city,urban,14149,52988.226,3.7450156,2020,quantify-infrastructure_ssp2
0633364,Hermosa Beach city,urban,19728,108318.54,5.4905992,2020,quantify-infrastructure_ssp2
0656000,Pasadena city,urban,138699,779712.1,5.621613,2020,quantify-infrastructure_ssp2
0651182,Newport Beach city,urban,85239,804605.1,9.4394009,2020,quantify-infrastructure_ssp2
0670000,Santa Monica city,urban,93076,340044.84,3.6534106,2020,quantify-infrastructure_ssp2
0642468,Lomita city,urban,20921,82943.104,3.964586,2020,quantify-infrastructure_ssp2
0645400,Manhattan Beach city,urban,35506,257035.43,7.2392112,2020,quantify-infrastructure_ssp2
0646492,Maywood city,urban,25138,76887.297,3.0586084,2020,quantify-infrastructure_ssp2
0632548,Hawthorne city,urban,88083,262809.45,2.9836569,2020,quantify-infrastructure_ssp2
0636546,Inglewood city,urban,107762,431094.77,4.000434,2020,quantify-infrastructure_ssp2
0606308,Beverly Hills city,urban,32701,314482.84,9.6169182,2020,quantify-infrastructure_ssp2
0644000,Los Angeles city,urban,3898747,15978836,4.0984542,2020,quantify-infrastructure_ssp2
0655282,Palo Alto city,urban,68572,464754.64,6.7776154,2020,quantify-infrastructure_ssp2
0620956,East Palo Alto city,urban,30034,104484.08,3.4788599,2020,quantify-infrastructure_ssp2
0667000,San Francisco city,urban,873965,2217224.6,2.5369718,2020,quantify-infrastructure_ssp2
0668252,San Mateo city,urban,105661,555866.27,5.2608462,2020,quantify-infrastructure_ssp2
0640886,Lawndale city,urban,31807,95178.331,2.9923706,2020,quantify-infrastructure_ssp2
0677000,Sunnyvale city,urban,155805,653495.6,4.1943173,2020,quantify-infrastructure_ssp2
0649670,Mountain View city,urban,82376,373472.21,4.5337503,2020,quantify-infrastructure_ssp2
0669084,Santa Clara city,urban,127647,551357.92,4.3193958,2020,quantify-infrastructure_ssp2
0602462,Arcadia city,urban,56681,381441.42,6.729617,2020,quantify-infrastructure_ssp2
0684410,West Hollywood city,urban,35757,142332.05,3.9805366,2020,quantify-infrastructure_ssp2
0608954,Burbank city,urban,107337,563835.05,5.2529421,2020,quantify-infrastructure_ssp2
0643000,Long Beach city,urban,466742,2097870.6,4.4947114,2020,quantify-infrastructure_ssp2
0600884,Alhambra city,urban,82868,365171.15,4.4066606,2020,quantify-infrastructure_ssp2
0628168,Gardena city,urban,61027,274153.02,4.4923234,2020,quantify-infrastructure_ssp2
0604870,Bell city,urban,33559,75047.473,2.2362845,2020,quantify-infrastructure_ssp2
0636056,Huntington Park city,urban,54883,130409.44,2.3761355,2020,quantify-infrastructure_ssp2
0673080,South Gate city,urban,92726,354225.97,3.8201365,2020,quantify-infrastructure_ssp2
0630000,Glendale city,urban,196543,844361.34,4.2960642,2020,quantify-infrastructure_ssp2
0668000,San Jose city,urban,1013240,4694786.5,4.6334397,2020,quantify-infrastructure_ssp2
0660018,Redondo Beach city,urban,71576,267835.87,3.7419788,2020,quantify-infrastructure_ssp2
