geofips,name,population,wages_thousands_usd,year,source
10180,"Abilene, TX (Metropolitan Statistical Area)",165609,2498610,2010,BEA_CA30_via_Bettencourt2020
10420,"Akron, OH (Metropolitan Statistical Area)",703119,13626933,2010,BEA_CA30_via_Bettencourt2020
10500,"Albany, GA (Metropolitan Statistical Area)",157665,2366281,2010,BEA_CA30_via_Bettencourt2020
10540,"Albany, OR (Metropolitan Statistical Area)",116890,1524867,2010,BEA_CA30_via_Bettencourt2020
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",871112,20301175,2010,BEA_CA30_via_Bettencourt2020
10740,"Albuquerque, NM (Metropolitan Statistical Area)*",889625,16176037,2010,BEA_CA30_via_Bettencourt2020
10780,"Alexandria, LA (Metropolitan Statistical Area)",154131,2441806,2010,BEA_CA30_via_Bettencourt2020
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",822157,14760097,2010,BEA_CA30_via_Bettencourt2020
11020,"Altoona, PA (Metropolitan Statistical Area)",127051,2162391,2010,BEA_CA30_via_Bettencourt2020
11100,"Amarillo, TX (Metropolitan Statistical Area)",252725,4516140,2010,BEA_CA30_via_Bettencourt2020
11180,"Ames, IA (Metropolitan Statistical Area)",89633,1738191,2010,BEA_CA30_via_Bettencourt2020
11260,"Anchorage, AK (Metropolitan Statistical Area)",383166,9772401,2010,BEA_CA30_via_Bettencourt2020
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",345563,8990423,2010,BEA_CA30_via_Bettencourt2020
11500,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",118437,1855662,2010,BEA_CA30_via_Bettencourt2020
11540,"Appleton, WI (Metropolitan Statistical Area)",225944,4668880,2010,BEA_CA30_via_Bettencourt2020
11700,"Asheville, NC (Metropolitan Statistical Area)",425462,6271744,2010,BEA_CA30_via_Bettencourt2020
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",193451,3157643,2010,BEA_CA30_via_Bettencourt2020
12060,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",5303758,1.1831478e+08,2010,BEA_CA30_via_Bettencourt2020
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",274761,5980001,2010,BEA_CA30_via_Bettencourt2020
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",140782,1696196,2010,BEA_CA30_via_Bettencourt2020
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",566568,9613569,2010,BEA_CA30_via_Bettencourt2020
12420,"Austin-Round Rock, TX (Metropolitan Statistical Area)",1727627,39235783,2010,BEA_CA30_via_Bettencourt2020
12540,"Bakersfield, CA (Metropolitan Statistical Area)",841682,12343320,2010,BEA_CA30_via_Bettencourt2020
12580,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",2715561,70324694,2010,BEA_CA30_via_Bettencourt2020
12620,"Bangor, ME (Metropolitan Statistical Area)",153871,2623528,2010,BEA_CA30_via_Bettencourt2020
12700,"Barnstable Town, MA (Metropolitan Statistical Area)",215930,3720246,2010,BEA_CA30_via_Bettencourt2020
12940,"Baton Rouge, LA (Metropolitan Statistical Area)",804309,16453062,2010,BEA_CA30_via_Bettencourt2020
12980,"Battle Creek, MI (Metropolitan Statistical Area)",136025,2532876,2010,BEA_CA30_via_Bettencourt2020
13020,"Bay City, MI (Metropolitan Statistical Area)",107695,1417523,2010,BEA_CA30_via_Bettencourt2020
13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",403701,7238746,2010,BEA_CA30_via_Bettencourt2020
13220,"Beckley, WV (Metropolitan Statistical Area)",124897,1745048,2010,BEA_CA30_via_Bettencourt2020
13380,"Bellingham, WA (Metropolitan Statistical Area)",201570,3266538,2010,BEA_CA30_via_Bettencourt2020
13460,"Bend-Redmond, OR (Metropolitan Statistical Area)",157839,2253445,2010,BEA_CA30_via_Bettencourt2020
13740,"Billings, MT (Metropolitan Statistical Area)",159355,3118202,2010,BEA_CA30_via_Bettencourt2020
13780,"Binghamton, NY (Metropolitan Statistical Area)",251456,4195416,2010,BEA_CA30_via_Bettencourt2020
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1128879,22129379,2010,BEA_CA30_via_Bettencourt2020
13900,"Bismarck, ND (Metropolitan Statistical Area)",115293,2550576,2010,BEA_CA30_via_Bettencourt2020
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)*",178525,2526427,2010,BEA_CA30_via_Bettencourt2020
14010,"Bloomington, IL (Metropolitan Statistical Area)",186444,4688016,2010,BEA_CA30_via_Bettencourt2020
14020,"Bloomington, IN (Metropolitan Statistical Area)",160139,2554581,2010,BEA_CA30_via_Bettencourt2020
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",85669,1735011,2010,BEA_CA30_via_Bettencourt2020
14260,"Boise City, ID (Metropolitan Statistical Area)",618020,10351811,2010,BEA_CA30_via_Bettencourt2020
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",4565410,1.531374e+08,2010,BEA_CA30_via_Bettencourt2020
14500,"Boulder, CO (Metropolitan Statistical Area)*",295986,8885839,2010,BEA_CA30_via_Bettencourt2020
14540,"Bowling Green, KY (Metropolitan Statistical Area)",159154,2315959,2010,BEA_CA30_via_Bettencourt2020
14740,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",251723,4356921,2010,BEA_CA30_via_Bettencourt2020
14860,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",919744,33941949,2010,BEA_CA30_via_Bettencourt2020
15180,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",407626,3940607,2010,BEA_CA30_via_Bettencourt2020
15260,"Brunswick, GA (Metropolitan Statistical Area)",112540,1531189,2010,BEA_CA30_via_Bettencourt2020
15380,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",1135566,21828186,2010,BEA_CA30_via_Bettencourt2020
15500,"Burlington, NC (Metropolitan Statistical Area)",151581,2065192,2010,BEA_CA30_via_Bettencourt2020
15540,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",211554,5222281,2010,BEA_CA30_via_Bettencourt2020
15680,"California-Lexington Park, MD (Metropolitan Statistical Area)",105758,2791482,2010,BEA_CA30_via_Bettencourt2020
15940,"Canton-Massillon, OH (Metropolitan Statistical Area)",404286,5928800,2010,BEA_CA30_via_Bettencourt2020
15980,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",620532,8135519,2010,BEA_CA30_via_Bettencourt2020
16020,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",96443,1638266,2010,BEA_CA30_via_Bettencourt2020
16060,"Carbondale-Marion, IL (Metropolitan Statistical Area)",126821,2068140,2010,BEA_CA30_via_Bettencourt2020
16180,"Carson City, NV (Metropolitan Statistical Area)",55030,1254166,2010,BEA_CA30_via_Bettencourt2020
16220,"Casper, WY (Metropolitan Statistical Area)",75472,1801511,2010,BEA_CA30_via_Bettencourt2020
16300,"Cedar Rapids, IA (Metropolitan Statistical Area)",258409,6038241,2010,BEA_CA30_via_Bettencourt2020
16540,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",149948,2105070,2010,BEA_CA30_via_Bettencourt2020
16580,"Champaign-Urbana, IL (Metropolitan Statistical Area)",232290,4377923,2010,BEA_CA30_via_Bettencourt2020
16620,"Charleston, WV (Metropolitan Statistical Area)",226895,5202368,2010,BEA_CA30_via_Bettencourt2020
16700,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",667496,12671512,2010,BEA_CA30_via_Bettencourt2020
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",2223672,47684007,2010,BEA_CA30_via_Bettencourt2020
16820,"Charlottesville, VA (Metropolitan Statistical Area)*",219094,4609725,2010,BEA_CA30_via_Bettencourt2020
16860,"Chattanooga, TN-GA (Metropolitan Statistical Area)",529220,9298178,2010,BEA_CA30_via_Bettencourt2020
16940,"Cheyenne, WY (Metropolitan Statistical Area)",92271,1996501,2010,BEA_CA30_via_Bettencourt2020
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",9471357,2.3492865e+08,2010,BEA_CA30_via_Bettencourt2020
17020,"Chico, CA (Metropolitan Statistical Area)",219977,2644867,2010,BEA_CA30_via_Bettencourt2020
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2117863,46225439,2010,BEA_CA30_via_Bettencourt2020
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",261691,4825684,2010,BEA_CA30_via_Bettencourt2020
17420,"Cleveland, TN (Metropolitan Statistical Area)",115963,1405960,2010,BEA_CA30_via_Bettencourt2020
17460,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",2075661,46166912,2010,BEA_CA30_via_Bettencourt2020
17660,"Coeur d'Alene, ID (Metropolitan Statistical Area)",138910,1805302,2010,BEA_CA30_via_Bettencourt2020
17780,"College Station-Bryan, TX (Metropolitan Statistical Area)",229473,3467356,2010,BEA_CA30_via_Bettencourt2020
