species,order,family,mass_g,mass_kg,bmr_mLO2_hr,bmr_W,specific_bmr_mLO2_hr_kg,specific_bmr_W_kg,source
Camelus dromedarius,Artiodactyla,Camelidae,407000,407,40293,224.96925,99,0.55275,PanTHERIA_WR05
Canis latrans,Carnivora,Canidae,10450,10.45,3699,20.65275,353.97129,1.9763397,PanTHERIA_WR05
Canis lupus,Carnivora,Canidae,33100,33.1,11254.2,62.83595,340.00604,1.8983671,PanTHERIA_WR05
Caluromys derbianus,Didelphimorphia,Didelphidae,344,0.344,215.11,1.2010308,625.31977,3.4913687,PanTHERIA_WR05
Cannomys badius,Rodentia,Spalacidae,344,0.344,172,0.96033333,500,2.7916667,PanTHERIA_WR05
Callithrix jacchus,Primates,Cebidae,190,0.19,152,0.84866667,800,4.4666667,PanTHERIA_WR05
Callithrix pygmaea,Primates,Cebidae,116.9,0.1169,113.99,0.63644417,975.10693,5.444347,PanTHERIA_WR05
Calomys callosus,Rodentia,Cricetidae,48,0.048,55.82,0.31166167,1162.9167,6.4929514,PanTHERIA_WR05
Calomys lepidus,Rodentia,Cricetidae,16,0.016,28.8,0.1608,1800,10.05,PanTHERIA_WR05
Calomys musculinus,Rodentia,Cricetidae,16.9,0.0169,27.59,0.15404417,1632.5444,9.1150394,PanTHERIA_WR05
Calomys venustus,Rodentia,Cricetidae,49.5,0.0495,70.78,0.39518833,1429.899,7.9836027,PanTHERIA_WR05
Auliscomys boliviensis,Rodentia,Cricetidae,76.8,0.0768,110.59,0.61746083,1439.974,8.0398546,PanTHERIA_WR05
Cercartetus concinnus,Diprotodontia,Burramyidae,18.6,0.0186,22.32,0.12462,1200,6.7,PanTHERIA_WR05
Cercartetus lepidus,Diprotodontia,Burramyidae,12.6,0.0126,18.77,0.10479917,1489.6825,8.3173942,PanTHERIA_WR05
Cercartetus nanus,Diprotodontia,Burramyidae,65,0.065,55.9,0.31210833,860,4.8016667,PanTHERIA_WR05
Cercopithecus mitis,Primates,Cercopithecidae,8650,8.65,3455.75,19.294604,399.50867,2.2305901,PanTHERIA_WR05
Cerdocyon thous,Carnivora,Canidae,5592.83,5.59283,1556.56,8.6907933,278.31348,1.5539169,PanTHERIA_WR05
Chaetodipus baileyi,Rodentia,Heteromyidae,29.1,0.0291,38,0.21216667,1305.8419,7.2909507,PanTHERIA_WR05
Chaetodipus californicus,Rodentia,Heteromyidae,22,0.022,21.45,0.1197625,975,5.44375,PanTHERIA_WR05
Chaetodipus fallax,Rodentia,Heteromyidae,19.9,0.0199,30.2,0.16861667,1517.5879,8.4731993,PanTHERIA_WR05
Chaetodipus hispidus,Rodentia,Heteromyidae,37.4,0.0374,48.41,0.27028917,1294.385,7.2269831,PanTHERIA_WR05
Chaetodipus intermedius,Rodentia,Heteromyidae,14.6,0.0146,15.62,0.087211667,1069.863,5.9734018,PanTHERIA_WR05
Chaetodipus penicillatus,Rodentia,Heteromyidae,16,0.016,22.4,0.12506667,1400,7.8166667,PanTHERIA_WR05
Cricetus cricetus,Rodentia,Cricetidae,362,0.362,231.68,1.2935467,640,3.5733333,PanTHERIA_WR05
Crocidura flavescens,Soricomorpha,Soricidae,33.2,0.0332,44.48,0.24834667,1339.759,7.4803213,PanTHERIA_WR05
Crocidura hildegardeae,Soricomorpha,Soricidae,11.5,0.0115,29.9,0.16694167,2600,14.516667,PanTHERIA_WR05
Crocidura poensis,Soricomorpha,Soricidae,16.9,0.0169,30.42,0.169845,1800,10.05,PanTHERIA_WR05
