species,order,family,mass_g,mass_kg,gestation_days,source
Camelus dromedarius,Artiodactyla,Camelidae,492714.47,492.71447,386.51,PanTHERIA_WR05
Canis adustus,Carnivora,Canidae,10392.49,10.39249,65,PanTHERIA_WR05
Canis aureus,Carnivora,Canidae,9658.7,9.6587,61.24,PanTHERIA_WR05
Canis latrans,Carnivora,Canidae,11989.1,11.9891,61.74,PanTHERIA_WR05
Canis lupus,Carnivora,Canidae,31756.51,31.75651,63.5,PanTHERIA_WR05
Bos frontalis,Artiodactyla,Bovidae,800143.05,800.14305,273.75,PanTHERIA_WR05
Bos grunniens,Artiodactyla,Bovidae,500000,500,273.75,PanTHERIA_WR05
Bos javanicus,Artiodactyla,Bovidae,635974.34,635.97434,296.78,PanTHERIA_WR05
Callicebus cupreus,Primates,Pitheciidae,1117.02,1.11702,129.25,PanTHERIA_WR05
Caluromys philander,Didelphimorphia,Didelphidae,246.47,0.24647,23.99,PanTHERIA_WR05
Camelus bactrianus,Artiodactyla,Camelidae,554515.91,554.51591,397.99,PanTHERIA_WR05
Bos taurus,Artiodactyla,Bovidae,618642.42,618.64242,280.48,PanTHERIA_WR05
Boselaphus tragocamelus,Artiodactyla,Bovidae,182253.04,182.25304,248.49,PanTHERIA_WR05
Canis mesomelas,Carnivora,Canidae,8247.3,8.2473,62.5,PanTHERIA_WR05
Canis simensis,Carnivora,Canidae,14361.86,14.36186,63.61,PanTHERIA_WR05
Cannomys badius,Rodentia,Spalacidae,472.07,0.47207,41.49,PanTHERIA_WR05
Capra caucasica,Artiodactyla,Bovidae,58149.52,58.14952,155,PanTHERIA_WR05
Capra falconeri,Artiodactyla,Bovidae,54303.37,54.30337,167.98,PanTHERIA_WR05
Capra hircus,Artiodactyla,Bovidae,47386.47,47.38647,156,PanTHERIA_WR05
Capra ibex,Artiodactyla,Bovidae,69546.83,69.54683,167.5,PanTHERIA_WR05
Atelerix algirus,Erinaceomorpha,Erinaceidae,903.98,0.90398,39.25,PanTHERIA_WR05
Atelerix frontalis,Erinaceomorpha,Erinaceidae,329.12,0.32912,37.13,PanTHERIA_WR05
Ateles belzebuth,Primates,Atelidae,6692.42,6.69242,138.2,PanTHERIA_WR05
Ateles fusciceps,Primates,Atelidae,9067.94,9.06794,224.7,PanTHERIA_WR05
Ateles geoffroyi,Primates,Atelidae,7582.4,7.5824,226.37,PanTHERIA_WR05
Ateles paniscus,Primates,Atelidae,8697.25,8.69725,228.18,PanTHERIA_WR05
Callicebus moloch,Primates,Pitheciidae,958.13,0.95813,164,PanTHERIA_WR05
Callimico goeldii,Primates,Cebidae,558,0.558,153.99,PanTHERIA_WR05
Callithrix aurita,Primates,Cebidae,386.2,0.3862,140,PanTHERIA_WR05
Callithrix flaviceps,Primates,Cebidae,372.97,0.37297,140,PanTHERIA_WR05
Callithrix jacchus,Primates,Cebidae,290.21,0.29021,144,PanTHERIA_WR05
Callithrix pygmaea,Primates,Cebidae,123.94,0.12394,134.44,PanTHERIA_WR05
Callorhinus ursinus,Carnivora,Otariidae,55464.82,55.46482,358.49,PanTHERIA_WR05
Callosciurus prevostii,Rodentia,Sciuridae,400,0.4,46.08,PanTHERIA_WR05
Calomys callosus,Rodentia,Cricetidae,44.95,0.04495,21.8,PanTHERIA_WR05
Calomys laucha,Rodentia,Cricetidae,14,0.014,25,PanTHERIA_WR05
Calomys musculinus,Rodentia,Cricetidae,20.2,0.0202,20.97,PanTHERIA_WR05
Atherurus africanus,Rodentia,Hystricidae,2875.65,2.87565,108.18,PanTHERIA_WR05
Atilax paludinosus,Carnivora,Herpestidae,3600.16,3.60016,77.27,PanTHERIA_WR05
Avahi laniger,Primates,Indriidae,1092.28,1.09228,136.15,PanTHERIA_WR05
Axis axis,Artiodactyla,Cervidae,69499.99,69.49999,227.49,PanTHERIA_WR05
Axis calamianensis,Artiodactyla,Cervidae,39812.6,39.8126,224,PanTHERIA_WR05
Axis kuhlii,Artiodactyla,Cervidae,54999.99,54.99999,227.49,PanTHERIA_WR05
Axis porcinus,Artiodactyla,Cervidae,37448.29,37.44829,220.13,PanTHERIA_WR05
Babyrousa babyrussa,Artiodactyla,Suidae,92950.09,92.95009,156.5,PanTHERIA_WR05
Balaenoptera musculus,Cetacea,Balaenopteridae,1.543213e+08,154321.3,326.97,PanTHERIA_WR05
Balaenoptera physalus,Cetacea,Balaenopteridae,47506008,47506.008,338.36,PanTHERIA_WR05
Balantiopteryx plicata,Chiroptera,Emballonuridae,6.57,0.00657,138.81,PanTHERIA_WR05
Bandicota bengalensis,Rodentia,Muridae,226.99,0.22699,18.89,PanTHERIA_WR05
Bandicota indica,Rodentia,Muridae,583.09,0.58309,20.26,PanTHERIA_WR05
Cephalophus niger,Artiodactyla,Bovidae,19094.32,19.09432,126,PanTHERIA_WR05
Cephalophus ogilbyi,Artiodactyla,Bovidae,18386.42,18.38642,121.66,PanTHERIA_WR05
Cephalophus rufilatus,Artiodactyla,Bovidae,12114.57,12.11457,233.99,PanTHERIA_WR05
Cephalophus silvicultor,Artiodactyla,Bovidae,62006.6,62.0066,234.43,PanTHERIA_WR05
Cephalophus zebra,Artiodactyla,Bovidae,15654.75,15.65475,223.89,PanTHERIA_WR05
Ceratotherium simum,Perissodactyla,Rhinocerotidae,2285939.4,2285.9394,534.19,PanTHERIA_WR05
Cercartetus concinnus,Diprotodontia,Burramyidae,15.96,0.01596,52.14,PanTHERIA_WR05
Cercocebus atys,Primates,Cercopithecidae,6941.24,6.94124,165.08,PanTHERIA_WR05
Cercocebus galeritus,Primates,Cercopithecidae,7077.66,7.07766,174.43,PanTHERIA_WR05
Cercocebus torquatus,Primates,Cercopithecidae,7293.07,7.29307,168.98,PanTHERIA_WR05
Cercopithecus ascanius,Primates,Cercopithecidae,3540.24,3.54024,148.5,PanTHERIA_WR05
Cercopithecus campbelli,Primates,Cercopithecidae,3627.73,3.62773,180.8,PanTHERIA_WR05
Cercopithecus cephus,Primates,Cercopithecidae,3444.88,3.44488,169.51,PanTHERIA_WR05
