species,order,family,mass_g,mass_kg,home_range_km2,source
Camelus dromedarius,Artiodactyla,Camelidae,492714.47,492.71447,196.32,PanTHERIA_WR05
Canis adustus,Carnivora,Canidae,10392.49,10.39249,1.01,PanTHERIA_WR05
Canis aureus,Carnivora,Canidae,9658.7,9.6587,2.95,PanTHERIA_WR05
Canis latrans,Carnivora,Canidae,11989.1,11.9891,18.88,PanTHERIA_WR05
Canis lupus,Carnivora,Canidae,31756.51,31.75651,159.86,PanTHERIA_WR05
Caluromys philander,Didelphimorphia,Didelphidae,246.47,0.24647,0.009960363,PanTHERIA_WR05
Bos taurus,Artiodactyla,Bovidae,618642.42,618.64242,10.04,PanTHERIA_WR05
Canis mesomelas,Carnivora,Canidae,8247.3,8.2473,11.93,PanTHERIA_WR05
Canis simensis,Carnivora,Canidae,14361.86,14.36186,4.2,PanTHERIA_WR05
Capra hircus,Artiodactyla,Bovidae,47386.47,47.38647,98.3,PanTHERIA_WR05
Ateles belzebuth,Primates,Atelidae,6692.42,6.69242,2.28,PanTHERIA_WR05
Ateles chamek,Primates,Atelidae,7053.92,7.05392,1.16,PanTHERIA_WR05
Ateles geoffroyi,Primates,Atelidae,7582.4,7.5824,0.73,PanTHERIA_WR05
Ateles paniscus,Primates,Atelidae,8697.25,8.69725,1.36,PanTHERIA_WR05
Callicebus moloch,Primates,Pitheciidae,958.13,0.95813,0.02,PanTHERIA_WR05
Callicebus personatus,Primates,Pitheciidae,1390.8,1.3908,0.03,PanTHERIA_WR05
Callicebus torquatus,Primates,Pitheciidae,1209.57,1.20957,0.11,PanTHERIA_WR05
Callimico goeldii,Primates,Cebidae,558,0.558,0.32,PanTHERIA_WR05
Callithrix aurita,Primates,Cebidae,386.2,0.3862,0.08,PanTHERIA_WR05
Callithrix flaviceps,Primates,Cebidae,372.97,0.37297,0.22,PanTHERIA_WR05
Callithrix humeralifera,Primates,Cebidae,374.99,0.37499,0.1,PanTHERIA_WR05
Callithrix jacchus,Primates,Cebidae,290.21,0.29021,0.02,PanTHERIA_WR05
Callithrix kuhlii,Primates,Cebidae,374.99,0.37499,0.06,PanTHERIA_WR05
Callithrix penicillata,Primates,Cebidae,339.98,0.33998,0.01,PanTHERIA_WR05
Callithrix pygmaea,Primates,Cebidae,123.94,0.12394,0.002117904,PanTHERIA_WR05
Callosciurus caniceps,Rodentia,Sciuridae,264.91,0.26491,0.01,PanTHERIA_WR05
Callosciurus erythraeus,Rodentia,Sciuridae,283.23,0.28323,0.008950755,PanTHERIA_WR05
Callosciurus nigrovittatus,Rodentia,Sciuridae,208.3,0.2083,0.01,PanTHERIA_WR05
Callosciurus notatus,Rodentia,Sciuridae,209.49,0.20949,0.02,PanTHERIA_WR05
Atherurus africanus,Rodentia,Hystricidae,2875.65,2.87565,0.12,PanTHERIA_WR05
Atilax paludinosus,Carnivora,Herpestidae,3600.16,3.60016,1.73,PanTHERIA_WR05
Avahi laniger,Primates,Indriidae,1092.28,1.09228,0.01,PanTHERIA_WR05
Avahi occidentalis,Primates,Indriidae,828.98,0.82898,0.01,PanTHERIA_WR05
Axis axis,Artiodactyla,Cervidae,69499.99,69.49999,0.67,PanTHERIA_WR05
