species,order,family,mass_g,mass_kg,max_longevity_months,max_longevity_years,source
Camelus dromedarius,Artiodactyla,Camelidae,492714.47,492.71447,480,40,PanTHERIA_WR05
Canis adustus,Carnivora,Canidae,10392.49,10.39249,137,11.416667,PanTHERIA_WR05
Canis aureus,Carnivora,Canidae,9658.7,9.6587,192,16,PanTHERIA_WR05
Canis latrans,Carnivora,Canidae,11989.1,11.9891,262,21.833333,PanTHERIA_WR05
Canis lupus,Carnivora,Canidae,31756.51,31.75651,354,29.5,PanTHERIA_WR05
Bos frontalis,Artiodactyla,Bovidae,800143.05,800.14305,314.4,26.2,PanTHERIA_WR05
Bos grunniens,Artiodactyla,Bovidae,500000,500,267,22.25,PanTHERIA_WR05
Bos javanicus,Artiodactyla,Bovidae,635974.34,635.97434,318.96,26.58,PanTHERIA_WR05
Caluromys derbianus,Didelphimorphia,Didelphidae,326.72,0.32672,60,5,PanTHERIA_WR05
Caluromys lanatus,Didelphimorphia,Didelphidae,350.33,0.35033,60,5,PanTHERIA_WR05
Caluromys philander,Didelphimorphia,Didelphidae,246.47,0.24647,76,6.3333333,PanTHERIA_WR05
Caluromysiops irrupta,Didelphimorphia,Didelphidae,257.48,0.25748,94,7.8333333,PanTHERIA_WR05
Calyptophractus retusus,Cingulata,Dasypodidae,129.99,0.12999,144,12,PanTHERIA_WR05
Camelus bactrianus,Artiodactyla,Camelidae,554515.91,554.51591,480,40,PanTHERIA_WR05
Bos taurus,Artiodactyla,Bovidae,618642.42,618.64242,240,20,PanTHERIA_WR05
Boselaphus tragocamelus,Artiodactyla,Bovidae,182253.04,182.25304,260.4,21.7,PanTHERIA_WR05
Canis mesomelas,Carnivora,Canidae,8247.3,8.2473,168,14,PanTHERIA_WR05
Cannomys badius,Rodentia,Spalacidae,472.07,0.47207,48,4,PanTHERIA_WR05
Capra caucasica,Artiodactyla,Bovidae,58149.52,58.14952,264,22,PanTHERIA_WR05
Capra falconeri,Artiodactyla,Bovidae,54303.37,54.30337,168,14,PanTHERIA_WR05
Capra hircus,Artiodactyla,Bovidae,47386.47,47.38647,249.6,20.8,PanTHERIA_WR05
Capra ibex,Artiodactyla,Bovidae,69546.83,69.54683,267.6,22.3,PanTHERIA_WR05
Atelerix algirus,Erinaceomorpha,Erinaceidae,903.98,0.90398,84,7,PanTHERIA_WR05
Ateles belzebuth,Primates,Atelidae,6692.42,6.69242,336,28,PanTHERIA_WR05
Ateles fusciceps,Primates,Atelidae,9067.94,9.06794,288,24,PanTHERIA_WR05
Ateles geoffroyi,Primates,Atelidae,7582.4,7.5824,327.6,27.3,PanTHERIA_WR05
Ateles paniscus,Primates,Atelidae,8697.25,8.69725,453.6,37.8,PanTHERIA_WR05
Callicebus moloch,Primates,Pitheciidae,958.13,0.95813,303.6,25.3,PanTHERIA_WR05
Callimico goeldii,Primates,Cebidae,558,0.558,214.8,17.9,PanTHERIA_WR05
Callithrix argentata,Primates,Cebidae,382.92,0.38292,201.6,16.8,PanTHERIA_WR05
Callithrix humeralifera,Primates,Cebidae,374.99,0.37499,180,15,PanTHERIA_WR05
Callithrix jacchus,Primates,Cebidae,290.21,0.29021,201.6,16.8,PanTHERIA_WR05
Callithrix pygmaea,Primates,Cebidae,123.94,0.12394,181.2,15.1,PanTHERIA_WR05
Callorhinus ursinus,Carnivora,Otariidae,55464.82,55.46482,420,35,PanTHERIA_WR05
Callosciurus caniceps,Rodentia,Sciuridae,264.91,0.26491,114,9.5,PanTHERIA_WR05
Callosciurus erythraeus,Rodentia,Sciuridae,283.23,0.28323,193.2,16.1,PanTHERIA_WR05
Callosciurus notatus,Rodentia,Sciuridae,209.49,0.20949,115.2,9.6,PanTHERIA_WR05
Callosciurus prevostii,Rodentia,Sciuridae,400,0.4,68,5.6666667,PanTHERIA_WR05
Caloprymnus campestris,Diprotodontia,Potoroidae,927.57,0.92757,156,13,PanTHERIA_WR05
Atelocynus microtis,Carnivora,Canidae,8363.22,8.36322,132,11,PanTHERIA_WR05
Atherurus africanus,Rodentia,Hystricidae,2875.65,2.87565,274.8,22.9,PanTHERIA_WR05
Atilax paludinosus,Carnivora,Herpestidae,3600.16,3.60016,209,17.416667,PanTHERIA_WR05
Atlantoxerus getulus,Rodentia,Sciuridae,250.57,0.25057,108,9,PanTHERIA_WR05
Axis axis,Artiodactyla,Cervidae,69499.99,69.49999,249.6,20.8,PanTHERIA_WR05
Axis porcinus,Artiodactyla,Cervidae,37448.29,37.44829,240,20,PanTHERIA_WR05
Babyrousa babyrussa,Artiodactyla,Suidae,92950.09,92.95009,288,24,PanTHERIA_WR05
Balaenoptera musculus,Cetacea,Balaenopteridae,1.543213e+08,154321.3,1320,110,PanTHERIA_WR05
Balaenoptera physalus,Cetacea,Balaenopteridae,47506008,47506.008,1392,116,PanTHERIA_WR05
Cephalophus niger,Artiodactyla,Bovidae,19094.32,19.09432,122.04,10.17,PanTHERIA_WR05
Cephalophus nigrifrons,Artiodactyla,Bovidae,14676.33,14.67633,236.4,19.7,PanTHERIA_WR05
Cephalophus rufilatus,Artiodactyla,Bovidae,12114.57,12.11457,114,9.5,PanTHERIA_WR05
Cephalophus silvicultor,Artiodactyla,Bovidae,62006.6,62.0066,207.96,17.33,PanTHERIA_WR05
Cephalophus spadix,Artiodactyla,Bovidae,56857.02,56.85702,65.04,5.42,PanTHERIA_WR05
Cephalophus zebra,Artiodactyla,Bovidae,15654.75,15.65475,146.04,12.17,PanTHERIA_WR05
Cephalorhynchus commersonii,Cetacea,Delphinidae,72400,72.4,216,18,PanTHERIA_WR05
Cephalorhynchus hectori,Cetacea,Delphinidae,49999.99,49.99999,240,20,PanTHERIA_WR05
Ceratotherium simum,Perissodactyla,Rhinocerotidae,2285939.4,2285.9394,600,50,PanTHERIA_WR05
Cercartetus caudatus,Diprotodontia,Burramyidae,23.05,0.02305,38.4,3.2,PanTHERIA_WR05
Cercartetus nanus,Diprotodontia,Burramyidae,26.85,0.02685,96,8,PanTHERIA_WR05
Cercocebus atys,Primates,Cercopithecidae,6941.24,6.94124,321.6,26.8,PanTHERIA_WR05
Cercocebus galeritus,Primates,Cercopithecidae,7077.66,7.07766,252,21,PanTHERIA_WR05
Cercocebus torquatus,Primates,Cercopithecidae,7293.07,7.29307,360,30,PanTHERIA_WR05
Cercopithecus ascanius,Primates,Cercopithecidae,3540.24,3.54024,339.6,28.3,PanTHERIA_WR05
Cercopithecus campbelli,Primates,Cercopithecidae,3627.73,3.62773,396,33,PanTHERIA_WR05
Cercopithecus cephus,Primates,Cercopithecidae,3444.88,3.44488,276,23,PanTHERIA_WR05
Cercopithecus diana,Primates,Cercopithecidae,4358.91,4.35891,447.6,37.3,PanTHERIA_WR05
Cercopithecus lhoesti,Primates,Cercopithecidae,5307.47,5.30747,192,16,PanTHERIA_WR05
Cercopithecus mitis,Primates,Cercopithecidae,5041.29,5.04129,325.2,27.1,PanTHERIA_WR05
Cercopithecus mona,Primates,Cercopithecidae,3980.17,3.98017,360,30,PanTHERIA_WR05
Cercopithecus neglectus,Primates,Cercopithecidae,5324.52,5.32452,315.6,26.3,PanTHERIA_WR05
Cercopithecus nictitans,Primates,Cercopithecidae,5256.91,5.25691,276,23,PanTHERIA_WR05
Cercopithecus petaurista,Primates,Cercopithecidae,3233.67,3.23367,228,19,PanTHERIA_WR05
Cercopithecus pogonias,Primates,Cercopithecidae,3578.27,3.57827,289.2,24.1,PanTHERIA_WR05
Cerdocyon thous,Carnivora,Canidae,5741.66,5.74166,138,11.5,PanTHERIA_WR05
Cervus elaphus,Artiodactyla,Cervidae,240867.13,240.86713,321.6,26.8,PanTHERIA_WR05
Cervus nippon,Artiodactyla,Cervidae,52999.99,52.99999,305.04,25.42,PanTHERIA_WR05
Chaerephon pumilus,Chiroptera,Molossidae,10.98,0.01098,60,5,PanTHERIA_WR05
