species,order,family,mass_g,mass_kg,pop_density_per_km2,source
Camelus dromedarius,Artiodactyla,Camelidae,492714.47,492.71447,0.98,PanTHERIA_WR05
Canis adustus,Carnivora,Canidae,10392.49,10.39249,0.74,PanTHERIA_WR05
Canis aureus,Carnivora,Canidae,9658.7,9.6587,0.22,PanTHERIA_WR05
Canis latrans,Carnivora,Canidae,11989.1,11.9891,0.25,PanTHERIA_WR05
Canis lupus,Carnivora,Canidae,31756.51,31.75651,0.01,PanTHERIA_WR05
Bos frontalis,Artiodactyla,Bovidae,800143.05,800.14305,0.54,PanTHERIA_WR05
Bos javanicus,Artiodactyla,Bovidae,635974.34,635.97434,0.75,PanTHERIA_WR05
Callicebus cupreus,Primates,Pitheciidae,1117.02,1.11702,4.89,PanTHERIA_WR05
Caluromys derbianus,Didelphimorphia,Didelphidae,326.72,0.32672,11.86,PanTHERIA_WR05
Caluromys philander,Didelphimorphia,Didelphidae,246.47,0.24647,62.32,PanTHERIA_WR05
Caluromysiops irrupta,Didelphimorphia,Didelphidae,257.48,0.25748,8.85,PanTHERIA_WR05
Camelus bactrianus,Artiodactyla,Camelidae,554515.91,554.51591,0.06,PanTHERIA_WR05
Boselaphus tragocamelus,Artiodactyla,Bovidae,182253.04,182.25304,2.39,PanTHERIA_WR05
Canis mesomelas,Carnivora,Canidae,8247.3,8.2473,0.74,PanTHERIA_WR05
Canis simensis,Carnivora,Canidae,14361.86,14.36186,1.2,PanTHERIA_WR05
Capra hircus,Artiodactyla,Bovidae,47386.47,47.38647,7.58,PanTHERIA_WR05
Ateles belzebuth,Primates,Atelidae,6692.42,6.69242,13.49,PanTHERIA_WR05
Ateles chamek,Primates,Atelidae,7053.92,7.05392,3.39,PanTHERIA_WR05
Ateles geoffroyi,Primates,Atelidae,7582.4,7.5824,19.06,PanTHERIA_WR05
Ateles paniscus,Primates,Atelidae,8697.25,8.69725,8,PanTHERIA_WR05
Callicebus moloch,Primates,Pitheciidae,958.13,0.95813,18.43,PanTHERIA_WR05
Callicebus personatus,Primates,Pitheciidae,1390.8,1.3908,13.03,PanTHERIA_WR05
Callicebus torquatus,Primates,Pitheciidae,1209.57,1.20957,10.2,PanTHERIA_WR05
Callimico goeldii,Primates,Cebidae,558,0.558,2.08,PanTHERIA_WR05
Callithrix argentata,Primates,Cebidae,382.92,0.38292,7.52,PanTHERIA_WR05
Callithrix flaviceps,Primates,Cebidae,372.97,0.37297,11.85,PanTHERIA_WR05
Callithrix humeralifera,Primates,Cebidae,374.99,0.37499,28.32,PanTHERIA_WR05
Callithrix jacchus,Primates,Cebidae,290.21,0.29021,508.18,PanTHERIA_WR05
Callithrix kuhlii,Primates,Cebidae,374.99,0.37499,59,PanTHERIA_WR05
Callithrix pygmaea,Primates,Cebidae,123.94,0.12394,15.9,PanTHERIA_WR05
Callorhinus ursinus,Carnivora,Otariidae,55464.82,55.46482,18,PanTHERIA_WR05
Callosciurus caniceps,Rodentia,Sciuridae,264.91,0.26491,18.6,PanTHERIA_WR05
Callosciurus erythraeus,Rodentia,Sciuridae,283.23,0.28323,622.69,PanTHERIA_WR05
Callosciurus nigrovittatus,Rodentia,Sciuridae,208.3,0.2083,5.75,PanTHERIA_WR05
Callosciurus notatus,Rodentia,Sciuridae,209.49,0.20949,98.32,PanTHERIA_WR05
Calomys callosus,Rodentia,Cricetidae,44.95,0.04495,354.3,PanTHERIA_WR05
Calomys expulsus,Rodentia,Cricetidae,39.86,0.03986,1195.79,PanTHERIA_WR05
Calomys musculinus,Rodentia,Cricetidae,20.2,0.0202,253.33,PanTHERIA_WR05
Calomyscus bailwardi,Rodentia,Calomyscidae,21.38,0.02138,354.3,PanTHERIA_WR05
Auliscomys pictus,Rodentia,Cricetidae,48.97,0.04897,232.95,PanTHERIA_WR05
Avahi laniger,Primates,Indriidae,1092.28,1.09228,84.85,PanTHERIA_WR05
Avahi occidentalis,Primates,Indriidae,828.98,0.82898,66.99,PanTHERIA_WR05
Axis axis,Artiodactyla,Cervidae,69499.99,69.49999,6.69,PanTHERIA_WR05
Axis kuhlii,Artiodactyla,Cervidae,54999.99,54.99999,4.44,PanTHERIA_WR05
Axis porcinus,Artiodactyla,Cervidae,37448.29,37.44829,16.5,PanTHERIA_WR05
Cephalophus niger,Artiodactyla,Bovidae,19094.32,19.09432,1.14,PanTHERIA_WR05
Cephalophus nigrifrons,Artiodactyla,Bovidae,14676.33,14.67633,2,PanTHERIA_WR05
Cephalophus rufilatus,Artiodactyla,Bovidae,12114.57,12.11457,3.18,PanTHERIA_WR05
Cephalophus silvicultor,Artiodactyla,Bovidae,62006.6,62.0066,0.5,PanTHERIA_WR05
Ceratotherium simum,Perissodactyla,Rhinocerotidae,2285939.4,2285.9394,0.47,PanTHERIA_WR05
Cercartetus caudatus,Diprotodontia,Burramyidae,23.05,0.02305,49.99,PanTHERIA_WR05
Cercartetus nanus,Diprotodontia,Burramyidae,26.85,0.02685,788.66,PanTHERIA_WR05
Cercocebus atys,Primates,Cercopithecidae,6941.24,6.94124,8.85,PanTHERIA_WR05
Cercocebus galeritus,Primates,Cercopithecidae,7077.66,7.07766,70.11,PanTHERIA_WR05
Cercocebus torquatus,Primates,Cercopithecidae,7293.07,7.29307,40.15,PanTHERIA_WR05
Cercopithecus ascanius,Primates,Cercopithecidae,3540.24,3.54024,105.79,PanTHERIA_WR05
Cercopithecus cephus,Primates,Cercopithecidae,3444.88,3.44488,21.04,PanTHERIA_WR05
Cercopithecus diana,Primates,Cercopithecidae,4358.91,4.35891,16.47,PanTHERIA_WR05
Cercopithecus lhoesti,Primates,Cercopithecidae,5307.47,5.30747,4.99,PanTHERIA_WR05
Cercopithecus mitis,Primates,Cercopithecidae,5041.29,5.04129,70.39,PanTHERIA_WR05
