species,order,family,mass_g,mass_kg,weaning_days,source
Camelus dromedarius,Artiodactyla,Camelidae,492714.47,492.71447,389.38,PanTHERIA_WR05
Canis adustus,Carnivora,Canidae,10392.49,10.39249,52.89,PanTHERIA_WR05
Canis aureus,Carnivora,Canidae,9658.7,9.6587,61.3,PanTHERIA_WR05
Canis latrans,Carnivora,Canidae,11989.1,11.9891,43.71,PanTHERIA_WR05
Canis lupus,Carnivora,Canidae,31756.51,31.75651,44.82,PanTHERIA_WR05
Bos frontalis,Artiodactyla,Bovidae,800143.05,800.14305,186.67,PanTHERIA_WR05
Bos grunniens,Artiodactyla,Bovidae,500000,500,243.33,PanTHERIA_WR05
Bos javanicus,Artiodactyla,Bovidae,635974.34,635.97434,287.74,PanTHERIA_WR05
Callicebus cupreus,Primates,Pitheciidae,1117.02,1.11702,201.85,PanTHERIA_WR05
Caluromys philander,Didelphimorphia,Didelphidae,246.47,0.24647,119.65,PanTHERIA_WR05
Camelus bactrianus,Artiodactyla,Camelidae,554515.91,554.51591,368.13,PanTHERIA_WR05
Canis mesomelas,Carnivora,Canidae,8247.3,8.2473,34.1,PanTHERIA_WR05
Canis simensis,Carnivora,Canidae,14361.86,14.36186,69.6,PanTHERIA_WR05
Cannomys badius,Rodentia,Spalacidae,472.07,0.47207,50.1,PanTHERIA_WR05
Capra falconeri,Artiodactyla,Bovidae,54303.37,54.30337,167.29,PanTHERIA_WR05
Capra hircus,Artiodactyla,Bovidae,47386.47,47.38647,158.04,PanTHERIA_WR05
Capra ibex,Artiodactyla,Bovidae,69546.83,69.54683,111.75,PanTHERIA_WR05
Atelerix algirus,Erinaceomorpha,Erinaceidae,903.98,0.90398,39.7,PanTHERIA_WR05
Atelerix frontalis,Erinaceomorpha,Erinaceidae,329.12,0.32912,34.8,PanTHERIA_WR05
Ateles fusciceps,Primates,Atelidae,9067.94,9.06794,482.7,PanTHERIA_WR05
Ateles geoffroyi,Primates,Atelidae,7582.4,7.5824,816.35,PanTHERIA_WR05
Ateles paniscus,Primates,Atelidae,8697.25,8.69725,805.41,PanTHERIA_WR05
Callicebus moloch,Primates,Pitheciidae,958.13,0.95813,58.85,PanTHERIA_WR05
Callicebus torquatus,Primates,Pitheciidae,1209.57,1.20957,121.66,PanTHERIA_WR05
Callimico goeldii,Primates,Cebidae,558,0.558,66.53,PanTHERIA_WR05
