scope,lhs,rhs,delta_tick,nearest_horizon,horizon_error,nearest_landmark,landmark_error
nist-selected-self,Sodium Na II 2839.5600 A [air],Sodium Na I 4494.1800 A [air],32.00023124677955,32.0,0.00023124677954911022,32.0,0.00023124677954911022
nist-selected-same-element,Sodium Na II 2839.5600 A [air],Sodium Na I 4494.1800 A [air],32.00023124677955,32.0,0.00023124677954911022,32.0,0.00023124677954911022
nist-selected-self,Sodium Na I 8650.8900 A [air],Cesium Cs I 5465.9400 A [air],31.999672246469345,32.0,0.00032775353065517265,32.0,0.00032775353065517265
nist-selected-self,Helium He I 4713.1460 A [air],Helium He I 18685.3400 A [air],95.99938945044505,96.0,0.0006105495549491025,96.0,0.0006105495549491025
nist-selected-same-element,Helium He I 4713.1460 A [air],Helium He I 18685.3400 A [air],95.99938945044505,96.0,0.0006105495549491025,96.0,0.0006105495549491025
nist-selected-self,Sodium Na II 2841.7200 A [air],Sodium Na I 4497.6600 A [air],32.0011821289545,32.0,0.001182128954496875,32.0,0.001182128954496875
nist-selected-same-element,Sodium Na II 2841.7200 A [air],Sodium Na I 4497.6600 A [air],32.0011821289545,32.0,0.001182128954496875,32.0,0.001182128954496875
nist-selected-self,Helium He I 4143.7600 A [air],Cesium Cs II 10379.6600 A [air],63.99881082549018,64.0,0.0011891745098182582,64.0,0.0011891745098182582
nist-selected-self,Helium He I 9702.6000 A [air],Cesium Cs II 15356.6100 A [air],32.00148534751497,32.0,0.0014853475149720907,32.0,0.0014853475149720907
nist-selected-self,Sodium Na II 1807.0900 A [vacuum],Cesium Cs II 4526.7400 A [air],64.00157662673791,64.0,0.0015766267379149213,64.0,0.0015766267379149213
nist-selected-self,Helium He I 2763.8000 A [air],Cesium Cs I 5502.8800 A [air],47.99782896500619,48.0,0.0021710349938075524,48.0,0.0021710349938075524
nist-selected-self,Sodium Na I 16373.8500 A [air],Cesium Cs II 6536.4400 A [air],64.00218008681168,64.0,0.002180086811677029,64.0,0.002180086811677029
nist-selected-self,Hydrogen H I 930.7482 A [vacuum],Sodium Na II 1853.1700 A [vacuum],47.99776897022639,48.0,0.002231029773611226,48.0,0.002231029773611226
nist-selected-self,Sodium Na I 10749.2900 A [air],Cesium Cs I 17012.3200 A [air],31.997719775088626,32.0,0.002280224911373807,32.0,0.002280224911373807
nist-selected-self,Sodium Na II 3145.7100 A [air],Sodium Na I 4978.5410 A [air],31.99766226110569,32.0,0.0023377388943117694,32.0,0.0023377388943117694
nist-selected-same-element,Sodium Na II 3145.7100 A [air],Sodium Na I 4978.5410 A [air],31.99766226110569,32.0,0.0023377388943117694,32.0,0.0023377388943117694
nist-selected-self,Sodium Na II 2611.8100 A [air],Sodium Na I 16388.8500 A [air],128.00240917557312,128.0,0.002409175573120592,128.0,0.002409175573120592
nist-selected-same-element,Sodium Na II 2611.8100 A [air],Sodium Na I 16388.8500 A [air],128.00240917557312,128.0,0.002409175573120592,128.0,0.002409175573120592
nist-selected-self,Helium He I 591.4121 A [vacuum],Sodium Na II 3711.0700 A [air],128.00274018913206,128.0,0.002740189132055093,128.0,0.002740189132055093
nist-selected-self,Sodium Na II 2947.5000 A [air],Sodium Na I 4664.8110 A [air],31.99715411455054,32.0,0.0028458854494601837,32.0,0.0028458854494601837
nist-selected-same-element,Sodium Na II 2947.5000 A [air],Sodium Na I 4664.8110 A [air],31.99715411455054,32.0,0.0028458854494601837,32.0,0.0028458854494601837
nist-selected-self,Sodium Na II 1835.2200 A [vacuum],Sodium Na II 2904.7200 A [air],32.002915903295616,32.0,0.0029159032956158626,32.0,0.0029159032956158626
nist-selected-same-element,Sodium Na II 1835.2200 A [vacuum],Sodium Na II 2904.7200 A [air],32.002915903295616,32.0,0.0029159032956158626,32.0,0.0029159032956158626
nist-selected-self,Helium He I 3888.6046 A [air],Sodium Na I 6154.2250 A [air],31.99704912408197,32.0,0.00295087591803167,32.0,0.00295087591803167
nist-selected-self,Helium He I 18697.2300 A [air],Sodium Na II 2979.6600 A [air],128.00299647747943,128.0,0.0029964774794279947,128.0,0.0029964774794279947
nist-selected-self,Sodium Na I 6154.2250 A [air],Cesium Cs I 3888.6100 A [air],31.996952337928633,32.0,0.0030476620713670854,32.0,0.0030476620713670854
nist-selected-self,Sodium Na II 3212.1900 A [air],Cesium Cs II 12735.5200 A [air],96.003456882936,96.0,0.0034568829360068776,96.0,0.0034568829360068776
nist-selected-self,Helium He I 5875.9663 A [air],Sodium Na II 2951.2400 A [air],47.99643885439673,48.0,0.003561145603271143,48.0,0.003561145603271143
nist-selected-self,Cesium Cs II 8047.1300 A [air],Cesium Cs II 12735.5200 A [air],31.996420083895828,32.0,0.0035799161041722982,32.0,0.0035799161041722982
nist-selected-same-element,Cesium Cs II 8047.1300 A [air],Cesium Cs II 12735.5200 A [air],31.996420083895828,32.0,0.0035799161041722982,32.0,0.0035799161041722982
nist-selected-self,Helium He II 11626.4000 A [air],Cesium Cs I 5838.8300 A [air],48.00360634169647,48.0,0.0036063416964680073,48.0,0.0036063416964680073
nist-selected-self,Helium He I 3888.6456 A [air],Sodium Na I 6154.2250 A [air],31.996314269621507,32.0,0.0036857303784927353,32.0,0.0036857303784927353
nist-selected-self,Helium He I 3888.6489 A [air],Sodium Na I 6154.2250 A [air],31.996255123136507,32.0,0.0037448768634931184,32.0,0.0037448768634931184
nist-selected-self,Helium He II 2511.2000 A [air],Cesium Cs II 3974.2500 A [air],31.99613367739039,32.0,0.0038663226096105063,32.0,0.0038663226096105063
nist-selected-self,Helium He I 17002.4700 A [air],Cesium Cs II 4288.3800 A [air],96.0039862962185,96.0,0.003986296218499774,96.0,0.003986296218499774
nist-selected-self,Cesium Cs II 926.6600 A [vacuum],Cesium Cs II 5814.1600 A [air],127.99593564169936,128.0,0.00406435830063856,128.0,0.00406435830063856
nist-selected-same-element,Cesium Cs II 926.6600 A [vacuum],Cesium Cs II 5814.1600 A [air],127.99593564169936,128.0,0.00406435830063856,128.0,0.00406435830063856
nist-selected-self,Helium He I 4713.3800 A [air],Helium He I 18685.3400 A [air],95.99592919838233,96.0,0.0040708016176722595,96.0,0.0040708016176722595
nist-selected-same-element,Helium He I 4713.3800 A [air],Helium He I 18685.3400 A [air],95.99592919838233,96.0,0.0040708016176722595,96.0,0.0040708016176722595
nist-selected-self,Sodium Na II 3179.0600 A [air],Cesium Cs II 12604.2900 A [air],96.00413183830005,96.0,0.004131838300054369,96.0,0.004131838300054369
nist-selected-self,Sodium Na II 2919.8500 A [air],Cesium Cs II 5814.1600 A [air],48.00473099992905,48.0,0.0047309999290519045,48.0,0.0047309999290519045
nist-selected-self,Sodium Na I 22056.4400 A [air],Cesium Cs II 5563.0200 A [air],96.00495564779612,96.0,0.00495564779612323,96.0,0.00495564779612323
nist-selected-self,Sodium Na I 3302.3700 A [air],Cesium Cs II 5227.0400 A [air],32.00515491425267,32.0,0.005154914252671006,32.0,0.005154914252671006
nist-selected-self,Cesium Cs I 5465.9400 A [air],Cesium Cs II 13692.9100 A [air],64.00560881507226,64.0,0.005608815072264406,64.0,0.005608815072264406
nist-selected-same-element,Cesium Cs I 5465.9400 A [air],Cesium Cs II 13692.9100 A [air],64.00560881507226,64.0,0.005608815072264406,64.0,0.005608815072264406
nist-selected-self,Sodium Na I 8650.8900 A [air],Cesium Cs II 13692.9100 A [air],32.00593656860292,32.0,0.0059365686029195786,32.0,0.0059365686029195786
nist-selected-self,Sodium Na I 5895.9240 A [air],Sodium Na I 14767.4800 A [air],63.993351290778264,64.0,0.006648709221735771,64.0,0.006648709221735771
nist-selected-same-element,Sodium Na I 5895.9240 A [air],Sodium Na I 14767.4800 A [air],63.993351290778264,64.0,0.006648709221735771,64.0,0.006648709221735771
nist-selected-self,Hydrogen H I 26251.5000 A [air],Cesium Cs II 10480.9300 A [air],63.99331739608897,64.0,0.006682603911031038,64.0,0.006682603911031038
nist-selected-self,Sodium Na II 3212.1900 A [air],Cesium Cs II 8047.1300 A [air],64.00703679904018,64.0,0.007036799040179176,64.0,0.007036799040179176
nist-selected-self,Cesium Cs II 10379.6600 A [air],Cesium Cs II 16426.1400 A [air],31.9926852091985,32.0,0.007314790801501658,32.0,0.007314790801501658
nist-selected-same-element,Cesium Cs II 10379.6600 A [air],Cesium Cs II 16426.1400 A [air],31.9926852091985,32.0,0.007314790801501658,32.0,0.007314790801501658
nist-selected-self,Helium He I 5875.6404 A [air],Sodium Na II 2951.2400 A [air],47.99257313202452,48.0,0.00742686797548231,48.0,0.00742686797548231
nist-selected-self,Sodium Na II 3094.4500 A [air],Sodium Na I 6160.7470 A [air],47.99244870431903,48.0,0.007551295680968906,48.0,0.007551295680968906
nist-selected-same-element,Sodium Na II 3094.4500 A [air],Sodium Na I 6160.7470 A [air],47.99244870431903,48.0,0.007551295680968906,48.0,0.007551295680968906
nist-selected-self,Helium He I 12968.4500 A [air],Sodium Na I 8194.7900 A [air],31.992340327602506,32.0,0.0076596723974944325,32.0,0.0076596723974944325
nist-selected-self,Sodium Na II 1835.2200 A [vacuum],Sodium Na II 2904.9200 A [air],32.00771461127715,32.0,0.007714611277151562,32.0,0.007714611277151562
nist-selected-same-element,Sodium Na II 1835.2200 A [vacuum],Sodium Na II 2904.9200 A [air],32.00771461127715,32.0,0.007714611277151562,32.0,0.007714611277151562
nist-selected-self,Sodium Na I 3302.9800 A [air],Cesium Cs II 5227.0400 A [air],31.99228198003675,32.0,0.0077180199632493895,32.0,0.0077180199632493895
nist-selected-self,Helium He I 5875.6148 A [air],Sodium Na II 2951.2400 A [air],47.99226946386534,48.0,0.007730536134658905,48.0,0.007730536134658905
nist-selected-self,Sodium Na I 5889.9500 A [air],Sodium Na I 23348.4100 A [air],95.99226261586591,96.0,0.007737384134088643,96.0,0.007737384134088643
nist-selected-same-element,Sodium Na I 5889.9500 A [air],Sodium Na I 23348.4100 A [air],95.99226261586591,96.0,0.007737384134088643,96.0,0.007737384134088643
nist-selected-self,Helium He I 4026.1910 A [air],Cesium Cs I 8015.7300 A [air],47.99225643557838,48.0,0.007743564421616611,48.0,0.007743564421616611
nist-selected-self,Helium He I 9529.2700 A [air],Helium He I 15083.6400 A [air],32.007792140073434,32.0,0.007792140073433984,32.0,0.007792140073433984
nist-selected-same-element,Helium He I 9529.2700 A [air],Helium He I 15083.6400 A [air],32.007792140073434,32.0,0.007792140073433984,32.0,0.007792140073433984
nist-selected-self,Helium He I 12968.4500 A [air],Sodium Na I 8194.8240 A [air],31.99205115726727,32.0,0.007948842732730554,32.0,0.007948842732730554
nist-selected-self,Sodium Na I 8649.9200 A [air],Cesium Cs I 5465.9400 A [air],31.991856889013434,32.0,0.008143110986566171,32.0,0.008143110986566171
nist-selected-self,Helium He I 10311.2300 A [air],Sodium Na II 6514.2100 A [air],32.00814409073246,32.0,0.008144090732457698,32.0,0.008144090732457698
nist-selected-self,Hydrogen H I 4340.4620 A [air],Cesium Cs I 6870.4500 A [air],32.00822523476927,32.0,0.008225234769270173,32.0,0.008225234769270173
nist-selected-self,Helium He I 12784.9900 A [air],Cesium Cs I 8078.9400 A [air],31.991660965347364,32.0,0.008339034652635746,32.0,0.008339034652635746
nist-selected-self,Helium He I 4143.7600 A [air],Cesium Cs II 16426.1400 A [air],95.99149603468868,96.0,0.008503965311319917,96.0,0.008503965311319917
nist-selected-self,Hydrogen H I 10049.4000 A [air],Helium He I 5047.7400 A [air],47.991365670386585,48.0,0.008634329613414593,48.0,0.008634329613414593
nist-selected-self,Helium He I 11969.1200 A [air],Cesium Cs I 6010.4900 A [air],48.00888823237892,48.0,0.008888232378922112,48.0,0.008888232378922112
nist-selected-self,Helium He I 15083.6400 A [air],Cesium Cs II 3805.1200 A [air],95.99099452099472,96.0,0.009005479005281813,96.0,0.009005479005281813
nist-selected-self,Helium He I 12784.9900 A [air],Cesium Cs I 8079.0400 A [air],31.99079827193418,32.0,0.009201728065818315,32.0,0.009201728065818315
nist-selected-self,Helium He II 2733.3000 A [air],Sodium Na I 10834.8700 A [air],95.99077022661004,96.0,0.009229773389961338,96.0,0.009229773389961338
nist-selected-self,Helium He II 11626.4000 A [air],Sodium Na II 1853.1700 A [vacuum],127.99006795196328,128.0,0.009932048036716878,128.0,0.009932048036716878
nist-selected-self,Sodium Na II 300.2000 A [vacuum],Cesium Cs II 1883.9300 A [vacuum],128.0099798127667,128.0,0.009979812766687246,128.0,0.009979812766687246
nist-selected-self,Helium He I 4713.3800 A [air],Sodium Na II 1881.9100 A [vacuum],63.9899955951214,64.0,0.010004404878600326,64.0,0.010004404878600326
nist-selected-self,Helium He I 5047.7400 A [air],Sodium Na II 3189.7900 A [air],31.989875587501956,32.0,0.010124412498043966,32.0,0.010124412498043966
nist-selected-self,Helium He I 10311.5400 A [air],Sodium Na II 6514.2100 A [air],32.01023944877943,32.0,0.01023944877942995,32.0,0.01023944877942995
nist-selected-self,Helium He I 4026.3600 A [air],Cesium Cs I 8015.7300 A [air],47.98933095803386,48.0,0.010669041966139048,48.0,0.010669041966139048
nist-selected-self,Helium He I 506.5706 A [vacuum],Sodium Na II 3179.0600 A [air],128.0107333496817,128.0,0.010733349681686377,128.0,0.010733349681686377
nist-selected-self,Hydrogen H I 3889.0490 A [air],Sodium Na I 6154.2250 A [air],31.98908443178152,32.0,0.010915568218479166,32.0,0.010915568218479166
nist-selected-self,Sodium Na II 2586.3100 A [air],Sodium Na I 5148.8380 A [air],47.9890375050818,48.0,0.010962494918203447,48.0,0.010962494918203447
nist-selected-same-element,Sodium Na II 2586.3100 A [air],Sodium Na I 5148.8380 A [air],47.9890375050818,48.0,0.010962494918203447,48.0,0.010962494918203447
nist-selected-self,Cesium Cs II 4405.2600 A [air],Cesium Cs I 6973.3000 A [air],32.01104633634259,32.0,0.011046336342587892,32.0,0.011046336342587892
nist-selected-same-element,Cesium Cs II 4405.2600 A [air],Cesium Cs I 6973.3000 A [air],32.01104633634259,32.0,0.011046336342587892,32.0,0.011046336342587892
nist-selected-self,Helium He I 12968.4500 A [air],Sodium Na II 6514.2100 A [air],47.98866332433681,48.0,0.011336675663187634,48.0,0.011336675663187634
nist-selected-self,Cesium Cs II 2273.8400 A [air],Cesium Cs II 4526.7400 A [air],47.98855608365193,48.0,0.01144391634807107,48.0,0.01144391634807107
nist-selected-same-element,Cesium Cs II 2273.8400 A [air],Cesium Cs II 4526.7400 A [air],47.98855608365193,48.0,0.01144391634807107,48.0,0.01144391634807107
nist-selected-self,Sodium Na II 2871.2800 A [air],Sodium Na I 11381.4500 A [air],95.98846656011483,96.0,0.011533439885170083,96.0,0.011533439885170083
nist-selected-same-element,Sodium Na II 2871.2800 A [air],Sodium Na I 11381.4500 A [air],95.98846656011483,96.0,0.011533439885170083,96.0,0.011533439885170083
nist-selected-self,Helium He I 3354.5500 A [air],Helium He I 6678.1517 A [air],47.98797223357087,48.0,0.01202776642912795,48.0,0.01202776642912795
nist-selected-same-element,Helium He I 3354.5500 A [air],Helium He I 6678.1517 A [air],47.98797223357087,48.0,0.01202776642912795,48.0,0.01202776642912795
nist-selected-self,Cesium Cs II 2392.8600 A [air],Cesium Cs II 4763.6400 A [air],47.98791328791867,48.0,0.012086712081327278,48.0,0.012086712081327278
nist-selected-same-element,Cesium Cs II 2392.8600 A [air],Cesium Cs II 4763.6400 A [air],47.98791328791867,48.0,0.012086712081327278,48.0,0.012086712081327278
