nuclide,z,n,A,symbol,E_keV,E_eV,unc_e_keV,jp,half_life,unit_hl,half_life_sec,idx,ENSDF_cut_off,Extraction_date,source_file,source,note,has_halflife
Ra-220,88,132,220,Ra,178.47,178470.0,0.12,2+,,,,1,31-Oct-2010,2026-07-17,iaea_livechart_levels_220ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Ra-221,88,133,221,Ra,53.14,53140.0,0.08,(7/2)+,,,,1,15-Jan-2007,2026-07-17,iaea_livechart_levels_221ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Ra-222,88,134,222,Ra,111.137,111137.0,0.02,2+,0.52,ns,0.00000000052,1,25-Sep-2023,2026-07-17,iaea_livechart_levels_222ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),True
Ra-223,88,135,223,Ra,29.858,29858.0,0.008,5/2+,,,,1,1-May-2001,2026-07-17,iaea_livechart_levels_223ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Ra-224,88,136,224,Ra,84.372,84372.0,0.003,2+,0.748,ns,0.000000000748,1,08-Mar-2022,2026-07-17,iaea_livechart_levels_224ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),True
Ra-225,88,137,225,Ra,25.41,25410.0,0.02,5/2+,0.88,ns,0.00000000088,1,1-Dec-2008,2026-07-17,iaea_livechart_levels_225ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),True
Ra-226,88,138,226,Ra,67.67,67670.0,0.01,2+,0.63,ns,0.00000000063,1,1-Feb-1996,2026-07-17,iaea_livechart_levels_226ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),True
Ra-227,88,139,227,Ra,1.733,1733.0,0.009,(5/2)+,,,,1,15-Jan-2016,2026-07-17,iaea_livechart_levels_227ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Ra-228,88,140,228,Ra,63.823,63823.0,0.02,2+,550,ps,0.00000000055,1,31-Dec-2012,2026-07-17,iaea_livechart_levels_228ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),True
Ra-229,88,141,229,Ra,41.25,41250.0,0.09,(7/2)+,,,,1,1-Jun-2008,2026-07-17,iaea_livechart_levels_229ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Ra-230,88,142,230,Ra,57.44,57440.0,0.07,2+,,,,1,26-Sep-2023,2026-07-17,iaea_livechart_levels_230ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Ra-231,88,143,231,Ra,46.23,46230.0,0.11,(7/2+),,,,1,31-Aug-2022,2026-07-17,iaea_livechart_levels_231ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Ra-232,88,144,232,Ra,54.5,54500.0,1,(2+),,,,1,1-Nov-2004,2026-07-17,iaea_livechart_levels_232ra.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Ac-220,89,131,220,Ac,13.79,13790.0,0.13,,,,,1,31-Oct-2010,2026-07-17,iaea_livechart_levels_220ac.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Ac-221,89,132,221,Ac,9.0,9000.0,0.5,(5/2-),,,,1,15-Jan-2007,2026-07-17,iaea_livechart_levels_221ac.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Ac-222,89,133,222,Ac,40.0,40000.0,14,,,,,2,25-Sep-2023,2026-07-17,iaea_livechart_levels_222ac.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
Ac-223,89,134,223,Ac,12.5,12500.0,0.2,(3/2-),,,,1,1-May-2001,2026-07-17,iaea_livechart_levels_223ac.csv,IAEA LiveChart API levels (ENSDF snapshot),first excited is above eV band (keV-scale),False
