E_keV,S_ref
10.0,5.162100e+03
12.0,5.152784e+03
14.0,5.143556e+03
16.0,5.134416e+03
18.0,5.125364e+03
20.0,5.116400e+03
22.0,5.107524e+03
24.0,5.098736e+03
26.0,5.090036e+03
28.0,5.081424e+03
30.0,5.072900e+03
32.0,5.064464e+03
34.0,5.056116e+03
36.0,5.047856e+03
38.0,5.039684e+03
40.0,5.031600e+03
42.0,5.023604e+03
44.0,5.015696e+03
46.0,5.007876e+03
48.0,5.000144e+03
50.0,4.992500e+03
52.0,4.984944e+03
54.0,4.977476e+03
56.0,4.970096e+03
58.0,4.962804e+03
60.0,4.955600e+03
62.0,4.948484e+03
64.0,4.941456e+03
66.0,4.934516e+03
68.0,4.927664e+03
70.0,4.920900e+03
72.0,4.914224e+03
74.0,4.907636e+03
76.0,4.901136e+03
78.0,4.894724e+03
80.0,4.888400e+03
82.0,4.882164e+03
84.0,4.876016e+03
86.0,4.869956e+03
88.0,4.863984e+03
90.0,4.858100e+03
92.0,4.852304e+03
94.0,4.846596e+03
96.0,4.840976e+03
98.0,4.835444e+03
100.0,4.830000e+03
102.0,4.824644e+03
104.0,4.819376e+03
106.0,4.814196e+03
108.0,4.809104e+03
110.0,4.804100e+03
112.0,4.799184e+03
114.0,4.794356e+03
116.0,4.789616e+03
118.0,4.784964e+03
120.0,4.780400e+03
122.0,4.775924e+03
124.0,4.771536e+03
126.0,4.767236e+03
128.0,4.763024e+03
130.0,4.758900e+03
132.0,4.754864e+03
134.0,4.750916e+03
136.0,4.747056e+03
138.0,4.743284e+03
140.0,4.739600e+03
142.0,4.736004e+03
144.0,4.732496e+03
146.0,4.729076e+03
148.0,4.725744e+03
150.0,4.722500e+03
152.0,4.719344e+03
154.0,4.716276e+03
156.0,4.713296e+03
158.0,4.710404e+03
160.0,4.707600e+03
162.0,4.704884e+03
164.0,4.702256e+03
166.0,4.699716e+03
168.0,4.697264e+03
170.0,4.694900e+03
172.0,4.692624e+03
174.0,4.690436e+03
176.0,4.688336e+03
178.0,4.686324e+03
180.0,4.684400e+03
182.0,4.682564e+03
184.0,4.680816e+03
186.0,4.679156e+03
188.0,4.677584e+03
190.0,4.676100e+03
192.0,4.674704e+03
194.0,4.673396e+03
196.0,4.672176e+03
198.0,4.671044e+03
200.0,4.670000e+03
