E_keV,S_ref
10.0,5.699102e+04
12.0,5.764599e+04
14.0,5.829996e+04
16.0,5.895291e+04
18.0,5.960486e+04
20.0,6.025581e+04
22.0,6.090575e+04
24.0,6.155470e+04
26.0,6.220264e+04
28.0,6.284959e+04
30.0,6.349554e+04
32.0,6.414049e+04
34.0,6.478445e+04
36.0,6.542741e+04
38.0,6.606939e+04
40.0,6.671037e+04
42.0,6.735037e+04
44.0,6.798938e+04
46.0,6.862740e+04
48.0,6.926444e+04
50.0,6.990050e+04
52.0,7.053557e+04
54.0,7.116967e+04
56.0,7.180279e+04
58.0,7.243492e+04
60.0,7.306609e+04
62.0,7.369627e+04
64.0,7.432549e+04
66.0,7.495373e+04
68.0,7.558100e+04
70.0,7.620730e+04
72.0,7.683264e+04
74.0,7.745701e+04
76.0,7.808041e+04
78.0,7.870285e+04
80.0,7.932433e+04
82.0,7.994484e+04
84.0,8.056440e+04
86.0,8.118300e+04
88.0,8.180064e+04
90.0,8.241733e+04
92.0,8.303306e+04
94.0,8.364784e+04
96.0,8.426167e+04
98.0,8.487455e+04
100.0,8.548648e+04
102.0,8.609746e+04
104.0,8.670749e+04
106.0,8.731659e+04
108.0,8.792473e+04
110.0,8.853194e+04
112.0,8.913821e+04
114.0,8.974353e+04
116.0,9.034792e+04
118.0,9.095137e+04
120.0,9.155389e+04
122.0,9.215548e+04
124.0,9.275613e+04
126.0,9.335585e+04
128.0,9.395464e+04
130.0,9.455250e+04
132.0,9.514943e+04
134.0,9.574544e+04
136.0,9.634053e+04
138.0,9.693469e+04
140.0,9.752793e+04
142.0,9.812025e+04
144.0,9.871165e+04
146.0,9.930214e+04
148.0,9.989170e+04
150.0,1.004804e+05
152.0,1.010681e+05
154.0,1.016549e+05
156.0,1.022408e+05
158.0,1.028258e+05
160.0,1.034099e+05
162.0,1.039931e+05
164.0,1.045754e+05
166.0,1.051568e+05
168.0,1.057373e+05
170.0,1.063168e+05
172.0,1.068955e+05
174.0,1.074733e+05
176.0,1.080502e+05
178.0,1.086262e+05
180.0,1.092013e+05
182.0,1.097754e+05
184.0,1.103487e+05
186.0,1.109212e+05
188.0,1.114927e+05
190.0,1.120633e+05
192.0,1.126331e+05
194.0,1.132019e+05
196.0,1.137699e+05
198.0,1.143370e+05
200.0,1.149032e+05
