E_keV,S_ref
10.0,5.975838e+06
12.0,6.025065e+06
14.0,6.075697e+06
16.0,6.127754e+06
18.0,6.181257e+06
20.0,6.236226e+06
22.0,6.292682e+06
24.0,6.350648e+06
26.0,6.410144e+06
28.0,6.471195e+06
30.0,6.533821e+06
32.0,6.598045e+06
34.0,6.663892e+06
36.0,6.731383e+06
38.0,6.800541e+06
40.0,6.871391e+06
42.0,6.943956e+06
44.0,7.018258e+06
46.0,7.094321e+06
48.0,7.172168e+06
50.0,7.251823e+06
52.0,7.333306e+06
54.0,7.416642e+06
56.0,7.501851e+06
58.0,7.588955e+06
60.0,7.677974e+06
62.0,7.768929e+06
64.0,7.861838e+06
66.0,7.956720e+06
68.0,8.053592e+06
70.0,8.152470e+06
72.0,8.253369e+06
74.0,8.356301e+06
76.0,8.461278e+06
78.0,8.568309e+06
80.0,8.677404e+06
82.0,8.788566e+06
84.0,8.901800e+06
86.0,9.017105e+06
88.0,9.134481e+06
90.0,9.253922e+06
92.0,9.375420e+06
94.0,9.498963e+06
96.0,9.624535e+06
98.0,9.752119e+06
100.0,9.881689e+06
102.0,1.001322e+07
104.0,1.014668e+07
106.0,1.028202e+07
108.0,1.041921e+07
110.0,1.055820e+07
112.0,1.069893e+07
114.0,1.084135e+07
116.0,1.098537e+07
118.0,1.113094e+07
120.0,1.127797e+07
122.0,1.142638e+07
124.0,1.157605e+07
126.0,1.172691e+07
128.0,1.187882e+07
130.0,1.203167e+07
132.0,1.218534e+07
134.0,1.233968e+07
136.0,1.249455e+07
138.0,1.264980e+07
140.0,1.280527e+07
142.0,1.296077e+07
144.0,1.311614e+07
146.0,1.327117e+07
148.0,1.342568e+07
150.0,1.357946e+07
152.0,1.373229e+07
154.0,1.388396e+07
156.0,1.403422e+07
158.0,1.418286e+07
160.0,1.432961e+07
162.0,1.447425e+07
164.0,1.461652e+07
166.0,1.475615e+07
168.0,1.489289e+07
170.0,1.502649e+07
172.0,1.515667e+07
174.0,1.528318e+07
176.0,1.540575e+07
178.0,1.552412e+07
180.0,1.563804e+07
182.0,1.574726e+07
184.0,1.585153e+07
186.0,1.595062e+07
188.0,1.604429e+07
190.0,1.613232e+07
192.0,1.621451e+07
194.0,1.629066e+07
196.0,1.636059e+07
198.0,1.642412e+07
200.0,1.648111e+07
