E_keV,S_ref
10.0,1.424552e+07
12.0,1.487970e+07
14.0,1.555242e+07
16.0,1.626355e+07
18.0,1.701195e+07
20.0,1.779538e+07
22.0,1.861024e+07
24.0,1.945136e+07
26.0,2.031180e+07
28.0,2.118264e+07
30.0,2.205284e+07
32.0,2.290924e+07
34.0,2.373671e+07
36.0,2.451843e+07
38.0,2.523646e+07
40.0,2.587247e+07
42.0,2.640875e+07
44.0,2.682922e+07
46.0,2.712055e+07
48.0,2.727315e+07
50.0,2.728189e+07
52.0,2.714654e+07
54.0,2.687171e+07
56.0,2.646648e+07
58.0,2.594365e+07
60.0,2.531873e+07
62.0,2.460892e+07
64.0,2.383202e+07
66.0,2.300551e+07
68.0,2.214580e+07
70.0,2.126775e+07
72.0,2.038431e+07
74.0,1.950641e+07
76.0,1.864294e+07
78.0,1.780094e+07
80.0,1.698571e+07
82.0,1.620104e+07
84.0,1.544947e+07
86.0,1.473250e+07
88.0,1.405076e+07
90.0,1.340423e+07
92.0,1.279239e+07
94.0,1.221431e+07
96.0,1.166882e+07
98.0,1.115456e+07
100.0,1.067006e+07
102.0,1.021377e+07
104.0,9.784142e+06
106.0,9.379629e+06
108.0,8.998720e+06
110.0,8.639955e+06
112.0,8.301935e+06
114.0,7.983328e+06
116.0,7.682873e+06
118.0,7.399381e+06
120.0,7.131737e+06
122.0,6.878897e+06
124.0,6.639884e+06
126.0,6.413788e+06
128.0,6.199762e+06
130.0,5.997018e+06
132.0,5.804822e+06
134.0,5.622492e+06
136.0,5.449398e+06
138.0,5.284950e+06
140.0,5.128604e+06
142.0,4.979853e+06
144.0,4.838227e+06
146.0,4.703289e+06
148.0,4.574632e+06
150.0,4.451880e+06
152.0,4.334680e+06
154.0,4.222707e+06
156.0,4.115657e+06
158.0,4.013245e+06
160.0,3.915209e+06
162.0,3.821302e+06
164.0,3.731294e+06
166.0,3.644970e+06
168.0,3.562132e+06
170.0,3.482591e+06
172.0,3.406172e+06
174.0,3.332711e+06
176.0,3.262055e+06
178.0,3.194059e+06
180.0,3.128590e+06
182.0,3.065520e+06
184.0,3.004730e+06
186.0,2.946108e+06
188.0,2.889551e+06
190.0,2.834958e+06
192.0,2.782236e+06
194.0,2.731299e+06
196.0,2.682063e+06
198.0,2.634451e+06
200.0,2.588390e+06
