E_keV,S_ref
10.0,5.767814e+04
12.0,5.809778e+04
14.0,5.851717e+04
16.0,5.893629e+04
18.0,5.935515e+04
20.0,5.977376e+04
22.0,6.019210e+04
24.0,6.061018e+04
26.0,6.102800e+04
28.0,6.144556e+04
30.0,6.186287e+04
32.0,6.227991e+04
34.0,6.269669e+04
36.0,6.311321e+04
38.0,6.352947e+04
40.0,6.394548e+04
42.0,6.436122e+04
44.0,6.477670e+04
46.0,6.519192e+04
48.0,6.560689e+04
50.0,6.602159e+04
52.0,6.643604e+04
54.0,6.685023e+04
56.0,6.726415e+04
58.0,6.767782e+04
60.0,6.809123e+04
62.0,6.850438e+04
64.0,6.891727e+04
66.0,6.932990e+04
68.0,6.974228e+04
70.0,7.015439e+04
72.0,7.056625e+04
74.0,7.097785e+04
76.0,7.138919e+04
78.0,7.180027e+04
80.0,7.221109e+04
82.0,7.262166e+04
84.0,7.303196e+04
86.0,7.344201e+04
88.0,7.385180e+04
90.0,7.426134e+04
92.0,7.467061e+04
94.0,7.507963e+04
96.0,7.548839e+04
98.0,7.589689e+04
100.0,7.630514e+04
102.0,7.671312e+04
104.0,7.712085e+04
106.0,7.752833e+04
108.0,7.793554e+04
110.0,7.834250e+04
112.0,7.874920e+04
114.0,7.915565e+04
116.0,7.956184e+04
118.0,7.996777e+04
120.0,8.037344e+04
122.0,8.077886e+04
124.0,8.118402e+04
126.0,8.158892e+04
128.0,8.199357e+04
130.0,8.239796e+04
132.0,8.280210e+04
134.0,8.320598e+04
136.0,8.360960e+04
138.0,8.401297e+04
140.0,8.441608e+04
142.0,8.481893e+04
144.0,8.522153e+04
146.0,8.562388e+04
148.0,8.602596e+04
150.0,8.642780e+04
152.0,8.682937e+04
154.0,8.723069e+04
156.0,8.763176e+04
158.0,8.803257e+04
160.0,8.843313e+04
162.0,8.883343e+04
164.0,8.923347e+04
166.0,8.963326e+04
168.0,9.003280e+04
170.0,9.043208e+04
172.0,9.083110e+04
174.0,9.122987e+04
176.0,9.162839e+04
178.0,9.202665e+04
180.0,9.242466e+04
182.0,9.282241e+04
184.0,9.321991e+04
186.0,9.361716e+04
188.0,9.401415e+04
190.0,9.441088e+04
192.0,9.480737e+04
194.0,9.520360e+04
196.0,9.559957e+04
198.0,9.599529e+04
200.0,9.639076e+04
