E_keV,S_ref
10.0,2.969993e+03
12.0,2.964038e+03
14.0,2.958098e+03
16.0,2.952174e+03
18.0,2.946265e+03
20.0,2.940372e+03
22.0,2.934494e+03
24.0,2.928632e+03
26.0,2.922785e+03
28.0,2.916953e+03
30.0,2.911137e+03
32.0,2.905336e+03
34.0,2.899551e+03
36.0,2.893781e+03
38.0,2.888027e+03
40.0,2.882288e+03
42.0,2.876565e+03
44.0,2.870856e+03
46.0,2.865164e+03
48.0,2.859487e+03
50.0,2.853825e+03
52.0,2.848179e+03
54.0,2.842548e+03
56.0,2.836932e+03
58.0,2.831333e+03
60.0,2.825748e+03
62.0,2.820179e+03
64.0,2.814625e+03
66.0,2.809087e+03
68.0,2.803564e+03
70.0,2.798057e+03
72.0,2.792565e+03
74.0,2.787089e+03
76.0,2.781628e+03
78.0,2.776182e+03
80.0,2.770752e+03
82.0,2.765337e+03
84.0,2.759938e+03
86.0,2.754554e+03
88.0,2.749186e+03
90.0,2.743833e+03
92.0,2.738496e+03
94.0,2.733173e+03
96.0,2.727867e+03
98.0,2.722576e+03
100.0,2.717300e+03
102.0,2.712040e+03
104.0,2.706795e+03
106.0,2.701565e+03
108.0,2.696352e+03
110.0,2.691153e+03
112.0,2.685970e+03
114.0,2.680802e+03
116.0,2.675650e+03
118.0,2.670513e+03
120.0,2.665392e+03
122.0,2.660286e+03
124.0,2.655196e+03
126.0,2.650121e+03
128.0,2.645061e+03
130.0,2.640017e+03
132.0,2.634988e+03
134.0,2.629975e+03
136.0,2.624977e+03
138.0,2.619995e+03
140.0,2.615028e+03
142.0,2.610077e+03
144.0,2.605140e+03
146.0,2.600220e+03
148.0,2.595315e+03
150.0,2.590425e+03
152.0,2.585551e+03
154.0,2.580692e+03
156.0,2.575848e+03
158.0,2.571021e+03
160.0,2.566208e+03
162.0,2.561411e+03
164.0,2.556629e+03
166.0,2.551863e+03
168.0,2.547112e+03
170.0,2.542377e+03
172.0,2.537657e+03
174.0,2.532953e+03
176.0,2.528264e+03
178.0,2.523590e+03
180.0,2.518932e+03
182.0,2.514289e+03
184.0,2.509662e+03
186.0,2.505050e+03
188.0,2.500454e+03
190.0,2.495873e+03
192.0,2.491308e+03
194.0,2.486757e+03
196.0,2.482223e+03
198.0,2.477704e+03
200.0,2.473200e+03
