E_keV,S_ref
10.0,2.006708e+05
12.0,2.012483e+05
14.0,2.018291e+05
16.0,2.024132e+05
18.0,2.030009e+05
20.0,2.035921e+05
22.0,2.041869e+05
24.0,2.047855e+05
26.0,2.053880e+05
28.0,2.059945e+05
30.0,2.066052e+05
32.0,2.072201e+05
34.0,2.078395e+05
36.0,2.084634e+05
38.0,2.090922e+05
40.0,2.097260e+05
42.0,2.103651e+05
44.0,2.110096e+05
46.0,2.116599e+05
48.0,2.123162e+05
50.0,2.129790e+05
52.0,2.136485e+05
54.0,2.143251e+05
56.0,2.150094e+05
58.0,2.157018e+05
60.0,2.164029e+05
62.0,2.171133e+05
64.0,2.178337e+05
66.0,2.185649e+05
68.0,2.193078e+05
70.0,2.200633e+05
72.0,2.208327e+05
74.0,2.216171e+05
76.0,2.224182e+05
78.0,2.232374e+05
80.0,2.240769e+05
82.0,2.249388e+05
84.0,2.258256e+05
86.0,2.267404e+05
88.0,2.276868e+05
90.0,2.286688e+05
92.0,2.296912e+05
94.0,2.307600e+05
96.0,2.318819e+05
98.0,2.330654e+05
100.0,2.343204e+05
102.0,2.356594e+05
104.0,2.370974e+05
106.0,2.386532e+05
108.0,2.403505e+05
110.0,2.422193e+05
112.0,2.442978e+05
114.0,2.466361e+05
116.0,2.492999e+05
118.0,2.523776e+05
120.0,2.559895e+05
122.0,2.603035e+05
124.0,2.655587e+05
126.0,2.721056e+05
128.0,2.804739e+05
130.0,2.914940e+05
132.0,3.065262e+05
134.0,3.279193e+05
136.0,3.600028e+05
138.0,4.114342e+05
140.0,5.014242e+05
142.0,6.786362e+05
144.0,1.086630e+06
146.0,2.152951e+06
148.0,3.537984e+06
150.0,2.154328e+06
152.0,1.089383e+06
154.0,6.827664e+05
156.0,5.069311e+05
158.0,4.183179e+05
160.0,3.682632e+05
162.0,3.375565e+05
164.0,3.175401e+05
166.0,3.038847e+05
168.0,2.942413e+05
170.0,2.872497e+05
172.0,2.820795e+05
174.0,2.782010e+05
176.0,2.752638e+05
178.0,2.730286e+05
180.0,2.713277e+05
182.0,2.700406e+05
184.0,2.690790e+05
186.0,2.683772e+05
188.0,2.678852e+05
190.0,2.675647e+05
192.0,2.673855e+05
194.0,2.673243e+05
196.0,2.673621e+05
198.0,2.674838e+05
200.0,2.676771e+05
220.0,2.719807e+05
240.0,2.783393e+05
260.0,2.855607e+05
280.0,2.932778e+05
300.0,3.013476e+05
320.0,3.097047e+05
340.0,3.183160e+05
360.0,3.271633e+05
380.0,3.362357e+05
400.0,3.460000e+05
420.0,3.736039e+05
440.0,3.964113e+05
460.0,4.144002e+05
480.0,4.275133e+05
500.0,4.356400e+05
520.0,4.385994e+05
540.0,4.361220e+05
560.0,4.278326e+05
580.0,4.132320e+05
600.0,3.916800e+05
620.0,3.623773e+05
640.0,3.243479e+05
660.0,2.764217e+05
680.0,2.339854e+05
700.0,1.936943e+05
