section,title,pdf_url
Gauge & Higgs Bosons,gamma,https://pdg.lbl.gov/2024/listings/rpp2024-list-photon.pdf
Gauge & Higgs Bosons,g (gluon),https://pdg.lbl.gov/2024/listings/rpp2024-list-gluon.pdf
Gauge & Higgs Bosons,graviton,https://pdg.lbl.gov/2024/listings/rpp2024-list-graviton.pdf
Gauge & Higgs Bosons,W boson,https://pdg.lbl.gov/2024/listings/rpp2024-list-w-boson.pdf
Gauge & Higgs Bosons,Z boson,https://pdg.lbl.gov/2024/listings/rpp2024-list-z-boson.pdf
Gauge & Higgs Bosons,H,https://pdg.lbl.gov/2024/listings/rpp2024-list-higgs-boson.pdf
"Leptons (e, mu, tau, ... neutrinos ...)",electron,https://pdg.lbl.gov/2024/listings/rpp2024-list-electron.pdf
"Leptons (e, mu, tau, ... neutrinos ...)",muon,https://pdg.lbl.gov/2024/listings/rpp2024-list-muon.pdf
"Leptons (e, mu, tau, ... neutrinos ...)",tau,https://pdg.lbl.gov/2024/listings/rpp2024-list-tau.pdf
"Leptons (e, mu, tau, ... neutrinos ...)",Heavy Charged Lepton Searches,https://pdg.lbl.gov/2024/listings/rpp2024-list-charged-lepton.pdf
"Leptons (e, mu, tau, ... neutrinos ...)",Neutrino Properties,https://pdg.lbl.gov/2024/listings/rpp2024-list-neutrino-prop.pdf
"Leptons (e, mu, tau, ... neutrinos ...)",Number of Neutrino Types,https://pdg.lbl.gov/2024/listings/rpp2024-list-number-neutrino-types.pdf
"Leptons (e, mu, tau, ... neutrinos ...)",Neutrino Mixing,https://pdg.lbl.gov/2024/listings/rpp2024-list-neutrino-mixing.pdf
"Quarks (u,d,s,c,b,t...)","LIGHT QUARKS --- u, d, s",https://pdg.lbl.gov/2024/listings/rpp2024-list-light-quarks.pdf
"Quarks (u,d,s,c,b,t...)",c quark,https://pdg.lbl.gov/2024/listings/rpp2024-list-c-quark.pdf
"Quarks (u,d,s,c,b,t...)",b quark,https://pdg.lbl.gov/2024/listings/rpp2024-list-b-quark.pdf
"Quarks (u,d,s,c,b,t...)",t quark,https://pdg.lbl.gov/2024/listings/rpp2024-list-t-quark.pdf
"Quarks (u,d,s,c,b,t...)",b' quark (4**th Generation),https://pdg.lbl.gov/2024/listings/rpp2024-list-b-prime-quark.pdf
"Quarks (u,d,s,c,b,t...)",t' quark (4**th Generation),https://pdg.lbl.gov/2024/listings/rpp2024-list-t-prime-quark.pdf
"Quarks (u,d,s,c,b,t...)",Free Quark Searches,https://pdg.lbl.gov/2024/listings/rpp2024-list-free-quark-searches.pdf
